1581587069.0049102, 12, 25, 32, 12, 25, 32, 2286, 707, 190, 38, 12, 0, 
1581587069.9194996, 11, 23, 29, 11, 23, 29, 2229, 690, 180, 30, 10, 2, 
1581587070.8343236, 12, 23, 28, 12, 23, 28, 2199, 682, 190, 24, 8, 2, 
1581587071.749024, 11, 23, 27, 11, 23, 27, 2163, 673, 188, 22, 8, 2, 
1581587072.6636589, 11, 21, 27, 11, 21, 27, 2088, 644, 182, 18, 10, 2, 
1581587073.5784252, 11, 20, 28, 11, 20, 28, 2121, 648, 178, 18, 14, 2, 
1581587074.4931557, 12, 19, 30, 12, 19, 30, 2028, 621, 170, 22, 18, 4, 
1581587075.3376007, 12, 19, 30, 12, 19, 30, 2028, 621, 170, 22, 18, 4, 
1581587076.2522023, 11, 18, 30, 11, 18, 30, 1914, 578, 168, 24, 20, 6, 
1581587077.0965903, 11, 18, 30, 11, 18, 30, 1914, 578, 168, 24, 20, 6, 
1581587078.0110915, 11, 17, 31, 11, 17, 31, 1896, 572, 162, 26, 22, 6, 
1581587078.8554854, 11, 17, 31, 11, 17, 31, 1896, 572, 162, 26, 22, 6, 
1581587079.7699482, 10, 16, 28, 10, 16, 28, 1848, 556, 152, 24, 20, 6, 
1581587080.6142225, 10, 16, 28, 10, 16, 28, 1848, 556, 152, 24, 20, 6, 
1581587081.528718, 9, 15, 26, 9, 15, 26, 1815, 543, 140, 22, 18, 6, 
1581587082.3730118, 9, 15, 26, 9, 15, 26, 1815, 543, 140, 22, 18, 6, 
1581587083.2878478, 11, 17, 27, 11, 17, 27, 1884, 564, 142, 20, 16, 4, 
1581587084.132121, 11, 17, 27, 11, 17, 27, 1884, 564, 142, 20, 16, 4, 
1581587085.0466866, 10, 16, 25, 10, 16, 25, 1791, 531, 128, 22, 16, 4, 
1581587085.8910513, 9, 15, 24, 9, 15, 24, 1791, 531, 128, 22, 16, 4, 
1581587086.8054469, 8, 15, 23, 8, 15, 23, 1710, 509, 130, 22, 14, 4, 
1581587087.6496959, 8, 15, 23, 8, 15, 23, 1710, 509, 130, 22, 14, 4, 
1581587088.5643275, 8, 14, 21, 8, 14, 21, 1716, 511, 114, 20, 12, 4, 
1581587089.4085882, 9, 15, 22, 9, 15, 22, 1716, 511, 114, 20, 12, 4, 
1581587090.3228676, 9, 15, 20, 9, 15, 20, 1617, 487, 110, 18, 8, 4, 
1581587091.1672163, 9, 15, 20, 9, 15, 20, 1617, 487, 110, 18, 8, 4, 
1581587092.0817714, 8, 13, 16, 8, 13, 16, 1617, 485, 110, 12, 4, 2, 
1581587092.926061, 8, 13, 16, 8, 13, 16, 1617, 485, 110, 12, 4, 2, 
1581587093.8406885, 8, 14, 18, 8, 14, 18, 1617, 487, 108, 18, 6, 2, 
1581587094.685044, 8, 14, 18, 8, 14, 18, 1617, 487, 108, 18, 6, 2, 
1581587095.599474, 8, 14, 16, 8, 14, 16, 1611, 485, 100, 16, 4, 2, 
1581587096.4437237, 8, 14, 16, 8, 14, 16, 1611, 485, 100, 16, 4, 2, 
1581587097.160041, 41, 161, 332, 30, 106, 220, 9174, 2950, 1773, 483, 292, 39, 
1581587097.957143, 68, 281, 580, 44, 186, 386, 15111, 4902, 3100, 874, 516, 49, 
1581587098.8773224, 77, 305, 616, 50, 202, 410, 16806, 5434, 3329, 913, 538, 49, 
1581587099.8009768, 92, 360, 721, 60, 239, 480, 19959, 6452, 3929, 1057, 624, 55, 
1581587100.6171381, 587, 850, 1209, 391, 566, 805, 25593, 8325, 5675, 2240, 1522, 236, 
1581587101.252802, 603, 1060, 2312, 401, 705, 1540, 35883, 11743, 8750, 4274, 3024, 528, 
1581587101.8823419, 623, 1384, 2964, 414, 921, 1975, 46722, 15358, 11887, 5502, 3594, 556, 
1581587102.5616834, 657, 1579, 3236, 437, 1052, 2157, 55194, 18162, 14012, 5833, 3727, 566, 
1581587103.322475, 695, 1675, 3347, 462, 1115, 2230, 61503, 20201, 14913, 5917, 3755, 566, 
1581587104.1369493, 738, 1766, 3476, 491, 1176, 2317, 65535, 21757, 15383, 5947, 3761, 566, 
1581587105.0616992, 723, 1653, 3195, 481, 1101, 2130, 62256, 20246, 13980, 5504, 3479, 531, 
1581587105.9844918, 711, 1558, 2974, 473, 1038, 1982, 59085, 19096, 12845, 5121, 3259, 523, 
1581587106.905883, 707, 1537, 2934, 471, 1024, 1955, 59487, 19155, 12750, 5100, 3247, 523, 
1581587107.8265054, 703, 1501, 2851, 468, 1000, 1900, 58317, 18708, 12261, 4974, 3167, 517, 
1581587108.7449234, 211, 1012, 2363, 140, 674, 1575, 53907, 17183, 10560, 3791, 2271, 336, 
1581587109.663825, 201, 809, 1259, 133, 538, 839, 44946, 14151, 7534, 1761, 773, 44, 
1581587110.5807216, 184, 488, 608, 122, 324, 405, 34923, 10766, 4432, 533, 205, 16, 
1581587111.497602, 153, 297, 340, 101, 197, 226, 27084, 8137, 2327, 208, 74, 6, 
1581587112.4135785, 117, 201, 226, 77, 133, 150, 21171, 6193, 1420, 116, 42, 4, 
1581587113.3297174, 90, 146, 169, 59, 96, 112, 16620, 4775, 960, 88, 38, 4, 
1581587114.2449722, 73, 113, 132, 48, 74, 87, 13530, 3870, 696, 64, 32, 2, 
1581587115.1650195, 66, 95, 112, 43, 62, 76, 12477, 3505, 514, 60, 28, 0, 
1581587116.0838828, 60, 85, 95, 39, 56, 70, 11655, 3225, 409, 44, 18, 0, 
1581587117.0034878, 56, 73, 80, 36, 50, 64, 11229, 3064, 310, 24, 12, 0, 
