Date,Time,Lon,Lat,Temp (degrees),PMC 1.0 (ug/m3),PMC 2.5 (ug/m3),PMC 10.0 (ug/m3),Turbidity LDR voltage
20-08-07,08:02:03,-5.115875,50.10370833333333,16.8125,6,7,7,1.4147460937499998
20-08-07,08:02:04,-5.115875,50.10370833333333,16.8125,6,7,7,1.4147460937499998
20-08-07,08:02:05,-5.115875,50.10370833333333,16.75,6,7,7,1.59521484375
20-08-07,08:02:06,-5.115875,50.10370833333333,16.75,6,7,7,1.46953125
20-08-07,08:02:07,-5.115875,50.10370833333333,16.75,6,7,7,1.5984375
20-08-07,08:02:08,-5.115875,50.10370833333333,16.6875,6,7,7,1.5597656249999998
20-08-07,08:02:09,-5.115875,50.10370666666667,16.6875,6,7,7,1.44052734375
20-08-07,08:02:10,-5.115875,50.10370666666667,16.6875,6,7,7,1.5791015625
20-08-07,08:02:11,-5.115875,50.10370666666667,16.6875,6,7,7,1.59521484375
20-08-07,08:02:12,-5.115875,50.10370666666667,16.6875,6,7,7,1.41796875
20-08-07,08:02:13,-5.115875,50.10370666666667,16.6875,6,7,7,1.47275390625
20-08-07,08:02:14,-5.115875,50.10370666666667,16.625,6,7,7,1.4276367187499999
20-08-07,08:02:15,-5.115875,50.10370666666667,16.6875,6,7,7,1.4276367187499999
20-08-07,08:02:16,-5.115876666666667,50.10370666666667,16.6875,6,7,7,1.4276367187499999
20-08-07,08:02:17,-5.115876666666667,50.10370666666667,16.6875,0,0,0,1.4276367187499999
20-08-07,08:02:18,-5.115876666666667,50.10370666666667,16.6875,0,0,0,1.4276367187499999
20-08-07,08:02:19,-5.115878333333334,50.10370666666667,16.625,3,5,5,1.4276367187499999
20-08-07,08:02:20,-5.115880000000001,50.10370666666667,16.625,4,5,5,1.4276367187499999
20-08-07,08:02:21,-5.115880000000001,50.10370666666667,16.625,4,5,5,1.4276367187499999
20-08-07,08:02:22,-5.115881666666667,50.103705,16.625,5,6,6,1.4276367187499999
20-08-07,08:02:23,-5.115885,50.103705,16.625,5,6,6,1.4276367187499999
20-08-07,08:02:24,-5.115888333333333,50.103705,16.625,5,7,7,1.4276367187499999
20-08-07,08:02:25,-5.115891666666666,50.103705,16.625,5,7,7,1.67578125
20-08-07,08:02:26,-5.115893333333333,50.10370333333334,16.625,5,7,7,1.6822265625
20-08-07,08:02:27,-5.115893333333333,50.1037,16.625,5,7,7,1.69189453125
20-08-07,08:02:28,-5.115895,50.10369666666666,16.5625,5,7,7,1.6725585937499998
20-08-07,08:02:29,-5.115896666666667,50.103695,16.625,5,7,7,1.65
20-08-07,08:02:30,-5.115896666666667,50.103695,16.625,5,7,7,1.6564453124999998
20-08-07,08:02:31,-5.115895,50.103695,16.625,5,7,7,1.6435546875
20-08-07,08:02:32,-5.115895,50.103695,16.625,5,7,7,1.6306640625
20-08-07,08:02:33,-5.115895,50.103695,16.625,5,7,7,1.6886718749999998
20-08-07,08:02:34,-5.115896666666667,50.103695,16.625,5,7,7,1.6886718749999998
20-08-07,08:02:35,-5.115895,50.10369333333333,16.625,5,7,7,1.6886718749999998
20-08-07,08:02:36,-5.115895,50.10369166666667,16.625,7,8,8,1.6886718749999998
20-08-07,08:02:37,-5.115895,50.10369166666667,16.625,5,6,6,1.6886718749999998
20-08-07,08:02:38,-5.115895,50.10369166666667,16.625,8,11,15,1.6886718749999998
20-08-07,08:02:39,-5.115895,50.10369166666667,16.625,8,12,15,1.6886718749999998
20-08-07,08:02:40,-5.115895,50.10369166666667,16.625,7,12,14,1.6886718749999998
20-08-07,08:02:41,-5.115895,50.10369166666667,16.625,7,11,13,1.6886718749999998
20-08-07,08:02:42,-5.115895,50.10369166666667,16.625,8,12,13,1.6886718749999998
20-08-07,08:02:44,-5.115895,50.10369166666667,16.625,7,10,12,1.6886718749999998
20-08-07,08:02:48,-5.115895,50.10369166666667,16.625,7,10,12,1.63388671875
20-08-07,08:02:49,-5.115895,50.10369166666667,16.625,7,10,12,1.59521484375
20-08-07,08:02:50,-5.115895,50.10369166666667,16.625,7,10,12,1.62744140625
20-08-07,08:02:51,-5.115896666666667,50.10369,16.625,7,10,12,1.6371093749999999
20-08-07,08:02:52,-5.115896666666667,50.10369,16.625,7,10,12,1.62744140625
20-08-07,08:02:53,-5.115896666666667,50.10369,16.625,7,10,12,1.6435546875
20-08-07,08:02:54,-5.115896666666667,50.10369,16.625,7,10,12,1.6306640625
20-08-07,08:02:55,-5.115896666666667,50.10369,16.625,7,10,12,1.6306640625
20-08-07,08:02:56,-5.115896666666667,50.10369,16.625,7,10,12,1.6306640625
20-08-07,08:02:57,-5.115896666666667,50.10369,16.625,5,6,6,1.6306640625
20-08-07,08:02:58,-5.115896666666667,50.10369,16.625,5,7,7,1.6306640625
20-08-07,08:02:59,-5.115896666666667,50.10369,16.625,7,9,9,1.6306640625
20-08-07,08:03:00,-5.115896666666667,50.10369,16.625,7,9,12,1.6306640625
20-08-07,08:03:01,-5.115896666666667,50.10369,16.625,7,10,15,1.6306640625
20-08-07,08:03:02,-5.115895,50.10369,16.625,7,10,14,1.6306640625
20-08-07,08:03:03,-5.115896666666667,50.10369,16.625,7,10,14,1.6306640625
20-08-07,08:03:04,-5.115896666666667,50.10369,16.625,8,11,14,1.6306640625
20-08-07,08:03:05,-5.115898333333333,50.10369,16.5625,8,11,14,1.5791015625
20-08-07,08:03:06,-5.1159,50.10369,16.5625,8,11,14,1.611328125
20-08-07,08:03:07,-5.1159,50.10369166666667,16.5625,8,11,14,1.6209960937499999
20-08-07,08:03:08,-5.1159,50.10369,16.5625,8,11,14,1.62744140625
20-08-07,08:03:09,-5.1159,50.10369166666667,16.5625,8,11,14,1.65966796875
20-08-07,08:03:10,-5.1159,50.10369166666667,16.5625,8,11,14,1.65966796875
20-08-07,08:03:11,-5.1159,50.10369,16.5625,8,11,14,1.63388671875
20-08-07,08:03:12,-5.115901666666667,50.10369166666667,16.5625,8,11,14,1.6564453124999998
20-08-07,08:03:13,-5.115901666666667,50.10369166666667,16.5625,8,11,14,1.6435546875
20-08-07,08:03:14,-5.115901666666667,50.10369166666667,16.5625,8,11,14,1.6209960937499999
20-08-07,08:03:15,-5.115903333333334,50.10369166666667,16.5625,8,11,14,1.6209960937499999
20-08-07,08:03:16,-5.115903333333334,50.10369166666667,16.625,10,12,12,1.6209960937499999
20-08-07,08:03:17,-5.115903333333334,50.10369166666667,16.625,11,14,14,1.6209960937499999
20-08-07,08:03:19,-5.115903333333334,50.10369166666667,16.625,8,11,11,1.6209960937499999
20-08-07,08:03:20,-5.115903333333334,50.10369166666667,16.625,7,9,9,1.6209960937499999
