Date,Time,Lon,Lat,Temp (degrees),PMC 1.0 (ug/m3),PMC 2.5 (ug/m3),PMC 10.0 (ug/m3),Turbidity LDR voltage
20-07-29,10:25:11,-5.059786666666667,50.16219833333334,16.8125,0,0,0,1.405078125
20-07-29,10:25:12,-5.059786666666667,50.162195000000004,16.75,0,0,0,1.3857421875
20-07-29,10:25:13,-5.0597883333333336,50.16219333333334,16.6875,0,0,0,1.40185546875
20-07-29,10:25:14,-5.0597883333333336,50.16219,16.625,0,0,0,1.35673828125
20-07-29,10:25:15,-5.059786666666667,50.16218833333333,16.5625,0,0,0,1.35673828125
20-07-29,10:25:16,-5.059786666666667,50.16218833333333,16.5625,0,0,0,1.35673828125
20-07-29,10:25:17,-5.059786666666667,50.16218833333333,16.5,0,0,0,1.35673828125
20-07-29,10:25:18,-5.059785,50.16218833333333,16.4375,0,0,0,1.35673828125
20-07-29,10:25:19,-5.059786666666667,50.162185,16.4375,0,0,0,1.35673828125
20-07-29,10:25:20,-5.059785,50.16218166666667,16.375,0,0,3,1.35673828125
20-07-29,10:25:22,-5.059781666666667,50.162175,16.3125,0,0,2,1.35673828125
20-07-29,10:25:23,-5.05978,50.16217166666666,16.3125,0,0,1,1.35673828125
20-07-29,10:25:24,-5.059778333333333,50.16217,16.25,0,0,1,1.353515625
20-07-29,10:25:25,-5.059776666666667,50.16216666666666,16.25,0,0,1,1.353515625
20-07-29,10:25:26,-5.059775,50.162165,16.25,0,0,1,1.3502929687499998
20-07-29,10:25:27,-5.059773333333333,50.16216166666667,16.1875,0,0,1,1.3502929687499998
20-07-29,10:25:28,-5.059773333333333,50.16215833333333,16.1875,0,0,1,1.3341796874999998
20-07-29,10:25:29,-5.059773333333333,50.16215666666667,16.125,0,0,1,1.353515625
20-07-29,10:25:30,-5.059773333333333,50.162155,16.125,0,0,1,1.3212890625
20-07-29,10:25:31,-5.059771666666666,50.162155,16.0625,0,0,1,1.3502929687499998
20-07-29,10:25:32,-5.059771666666666,50.16215333333334,16.0625,0,0,1,1.3470703124999999
20-07-29,10:25:33,-5.059771666666666,50.16215333333334,16.0625,0,0,1,1.35673828125
20-07-29,10:25:34,-5.059771666666666,50.16215333333334,16.0,0,0,1,1.35673828125
20-07-29,10:25:35,-5.059771666666666,50.16215333333334,16.0,0,0,1,1.35673828125
20-07-29,10:25:36,-5.059769999999999,50.162155,16.0,2,3,3,1.35673828125
20-07-29,10:25:37,-5.059769999999999,50.162155,16.0,2,3,3,1.35673828125
20-07-29,10:25:38,-5.059769999999999,50.162155,16.0,1,2,2,1.35673828125
20-07-29,10:25:39,-5.059769999999999,50.162155,16.0,1,2,2,1.35673828125
