"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",862917811.547631,5665.5,2011-11-18 08:25:17,158860845.292274,166002899.03461,96688727.9602606,104193590.459505,56597580.3317929,31759292.8944133,5468224.96820988,4415268.25871176,3200093.76274297,4873319.76596409,3591999.00261571,3978776.17181253,4067961.34860185,4833391.58108703,3941820.11129335,3904376.2860312,8661540.88538969,9597555.59697587,17440265.2689845,73740534.302098,17007890.2783074,8282148.85861094,6611224.96201357,8111951.06176771,7910148.26528192,9150355.50413818,11527099.5583767,12861757.7134081,18613435.7359887,168609629.759476,41657102.8042638,613653342.206972
"2",946371173.021432,5666,2011-11-18 08:25:18,260831839.578666,104806127.342404,100220767.511404,60707001.6462081,52015960.6961377,24883486.6437343,8186722.15204248,3853030.93267852,3644258.072496,3917887.56281721,4626661.00743078,3616968.15121756,4609067.91815218,5296607.54649172,5012497.40926523,9248358.76129671,9096545.60625238,14111129.7266546,22480887.0567773,166967647.513497,20117881.7212937,9553242.37051665,6773774.99781278,9111506.38897786,8108745.23849168,8756022.16845695,11492121.2024042,13181656.4242308,17821842.7465825,277428253.537939,47509737.6418621,582943885.862829
"3",933277861.333286,5666.5,2011-11-18 08:25:18,333688252.269974,93516209.7550921,95089054.4280653,102227608.775586,57062401.8444787,22501724.3371633,5180895.21707289,3095426.97241711,4101208.46695123,3779907.65062648,4510529.42024339,4425304.28204886,3948538.8886339,3700350.38928575,4641247.2009405,3977143.26960786,5197148.98871176,5760543.46172593,18663053.9717342,94575540.8118538,12545555.7817703,6111652.84060294,6352518.83063261,8710527.55467997,8014643.81522804,7978504.51339867,11573169.6374045,12384672.7514438,18284904.0149285,177094139.778283,40974549.9074221,677222932.890357
"4",973066368.647689,5667,2011-11-18 08:25:19,244427801.890612,115095636.805388,215540520.828704,85788431.6786411,42538432.9947337,28765655.7898608,4570745.64433311,4935765.56514536,5646553.53437953,3250689.90325765,4180452.04945665,4991900.36548489,4170399.06948454,4640367.82664379,4440839.96808112,3858183.51396135,5299520.09214771,5556192.54817859,12383024.844003,106213219.832548,13769536.2274706,5845981.75973005,7247914.23273264,8251314.21700883,7882922.59141882,8229400.61152798,11676549.9426329,12689337.2582455,16672595.5596955,183947822.797808,43178549.9330149,709148528.024987
"5",985796346.300375,5667.5,2011-11-18 08:25:19,161080623.678794,68296419.3232438,89112119.1586243,195245359.651502,44886205.4308332,18450271.1692752,5688308.06915035,3459617.18941029,4847781.2503093,3848202.03745933,4247254.77817332,4622506.32306667,4348682.20980182,4255985.69398063,3929746.52693238,4406640.6009574,4215665.59946692,3798233.01038601,8087280.26291903,75667316.439139,13435055.0792668,5674763.80388574,6924202.37570758,7966071.74196759,8275635.85271352,8360450.01655414,11802366.0892254,13726827.7057549,17986895.8816101,145872521.590189,40084657.8709785,760218775.087341
"6",869314427.978334,5668,2011-11-18 08:25:20,275349789.826296,72444896.8844489,112540933.127452,121572531.381102,32882814.9731175,24004464.3061941,10271343.5218947,2900938.09517486,6488216.82856627,4560892.19640633,5330564.99592539,4629824.17221405,4077950.07286053,5283532.81251744,6577925.07555684,5657321.58495742,7198848.40173363,11358392.5366227,17119703.8752229,85181407.8297243,17378304.5186514,10542759.4871205,8882665.70395391,9433638.4278045,8964951.03237854,8670189.24863222,11311960.8027124,12436363.0635123,17324251.2796034,186850399.244943,49265698.2200808,595663619.133755
"7",696005116.357222,5668.5,2011-11-18 08:25:20,167852004.935207,98275072.3633303,104356936.381923,100657883.084496,40049044.4322121,42369952.3345511,3391528.42864477,4340275.14730032,4397112.74983722,5016115.80518606,4945500.3794406,3909475.55448511,3863058.85055958,4079097.63549116,4186942.58048911,4335067.08045754,4834196.06266724,4313248.85149029,6043021.38816386,31666773.1031258,10473208.285234,7171321.83550606,8338845.38877912,9065081.75772269,7553283.9194638,9182645.21974036,11986888.170519,12347678.5089745,17513713.4571796,102275630.057572,41903854.8747754,514346309.545359
"8",1071700861.46069,5669,2011-11-18 08:25:21,357219405.755791,166712622.446423,108956104.750273,68525895.3622973,71476829.5435427,28080616.0686782,9170130.78084085,5005716.2199966,3051840.05638424,3707005.86434797,3949789.38188845,3947002.36972734,3742156.27804857,4061094.91781561,3980010.34244634,4023144.78861446,4673799.67719481,5520387.27625185,6387331.93974339,36000841.7243846,12400455.7092663,7858821.13045539,8513047.33402398,8840616.59551025,7870185.91811607,8501830.0562492,11230505.01058,12229410.6758789,17751064.7549452,109455670.887071,38364777.4945228,886643599.138362
"9",830792704.999491,5669.5,2011-11-18 08:25:21,155142235.100182,183091807.299259,123392348.905292,66147670.3634764,32044616.3091954,17851678.6533672,9291918.80568321,6639291.03925739,6285159.86607649,3992271.31991795,3501294.35618671,4550569.56468726,4433511.1316764,5073694.52500644,4563003.25045838,4680582.17063154,5886659.06242126,5696452.60054818,6093209.51669533,30849172.0683128,8409215.64698757,7662008.82695578,7238598.15936122,8242314.32393463,8009783.50557815,8633575.78244753,11089734.1942624,12176340.4915463,18749652.2765616,98917306.2078939,48017946.9555471,645796905.575455
"10",965316622.788566,5670,2011-11-18 08:25:22,159732262.02447,65089648.7152495,126567885.417503,150469607.299784,53368818.0255499,17774330.8852756,9176408.35605879,4413087.43568281,1905210.43136584,3600114.04809837,4138080.55762997,2735312.3238846,4016923.08066445,5776693.31336561,5161793.40309419,3989854.84377144,8047109.28120369,9718163.16987728,22730222.8195685,189348547.451002,12297050.6059906,5953268.18026279,8374392.48930324,8478713.31319474,7809061.7554961,8645695.75115607,11336372.7527857,12594140.0476955,17464620.2447379,282328315.750962,40269916.9709305,605286338.792329
"11",760805013.802476,5670.5,2011-11-18 08:25:22,208825113.780268,112636418.711751,88499585.7841159,83961739.1691496,72569693.7689996,14479187.2494667,7489174.89769163,5630886.1911998,4563016.38079688,4831924.73034796,2957513.71105741,3592631.96342324,3795490.07025745,4052254.8374416,4053348.28695915,3976830.35206679,3765723.66537089,4468190.45272046,5743142.87719768,28827395.9598334,9061905.0325382,6664737.37319903,7305714.10533605,8495161.75235259,8067123.22478203,8200698.19943775,11095944.9055294,12035233.3594422,17706949.7799067,94224007.9465238,41031295.5280533,588810584.938268
"12",740249522.883787,5671,2011-11-18 08:25:23,217836113.715826,133157805.32475,96918351.0263939,60654602.1053204,56263804.9256143,20416398.801058,5836158.25763295,3698876.06880141,3286392.82615843,3845419.39796021,4379089.26603726,3653601.20286121,4574512.2455535,4935376.48839668,3664617.44629497,4287359.40097644,5395368.06742348,5259706.83256946,4979591.24746298,22145897.794164,8017195.4004021,5917970.619772,6894724.1017076,8698325.18486372,7683747.07483393,8133216.60911962,11333213.036808,12596626.6469376,16828659.8874839,86044466.0740641,40549928.132473,576875059.208147
"13",687086403.859563,5671.5,2011-11-18 08:25:23,159332729.156057,67889506.8946756,79571334.6165648,97433801.6522528,72595350.4523109,20223295.2046486,9422630.21694089,1129916.85412541,3837466.61086692,4065546.07738829,3145753.03111732,3484401.90050104,4125108.20775519,3425987.95029006,4752565.19955084,4836866.46558256,5611009.49825808,5814805.18418567,6534016.62443472,27036424.7394253,9067867.91380205,6683294.69262863,7647433.52841867,8885336.76800033,7340832.48284738,8541596.71711233,11710572.6791501,12307085.7651512,17449062.674218,95550800.3809886,37069894.7530261,516945113.823593
"14",869272866.859327,5672,2011-11-18 08:25:24,289673302.604454,88717641.0306317,113511589.857312,85184647.0661006,49633388.9074605,23416748.9477414,6809419.59254843,2951153.1543285,3212713.92237236,4209319.24613905,6286452.07391514,3949838.47123409,4773571.38407348,5625337.18527471,4136287.54597309,4226221.72343488,5438681.60386494,5522629.23348523,6080275.4676475,23764310.7027884,8198213.24706362,6079643.43424143,7065336.2029173,8131238.3205711,7876327.88558881,8458036.65980579,11425230.1456586,12070393.6125764,17170966.8548923,89263244.9753474,43502120.6346875,699755117.994
"15",697331336.548408,5672.5,2011-11-18 08:25:24,183900821.389519,88649873.7330963,82644347.2267295,120800688.403553,29327737.7771256,24234314.1204356,5321445.24943396,2997437.1478601,3464385.80704996,4247510.48957919,3688215.44694431,3724796.19783915,4380663.55795502,4357828.37292105,4330493.78781146,3464909.81175655,4444923.67812406,5935462.62577779,7501215.31081731,47025275.1972808,9701261.79573066,7687428.2482569,8389412.87738514,9055168.77501406,7794473.07745928,9116749.08064479,11550895.0633057,12887336.5724981,17875290.7635038,119990595.789895,37529034.5785398,501474678.236546
"16",863308564.362998,5673,2011-11-18 08:25:25,260930253.341136,178754059.20164,83572890.3088594,102636872.548933,58196086.5182001,32153979.2567695,7109899.92924668,2627637.34589967,4081831.67874968,3579617.17661914,4273283.72710388,3209964.31283692,4554874.97351492,5071261.18511195,4619420.8279343,3535446.58384153,5892906.95454145,14330447.7713175,8159976.3179306,57222485.5046017,9567093.74241119,6486517.33919145,6530680.57366166,8353806.23240901,7955938.50289057,8052844.51431986,11798036.6235125,12457950.5420541,17619477.0696562,134975375.570837,40582458.9344143,649929323.829058
