"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",2286923601.27795,3044.5,2011-11-18 07:41:36,110637938.820579,75868061.3308408,48577212.9165328,49394072.224269,33325150.5737385,18552225.9642065,7592539.7731319,3760841.33944685,3299251.72958068,5406736.77665551,6143606.95151975,5205855.92899306,5929126.37714615,4811095.02520858,4971799.58082396,5539590.47387209,12150735.3167078,32223322.6755656,63282575.273549,1242307732.18186,198950752.516944,49716360.9224416,51081426.4840996,47950263.4121845,15828590.9732715,14402167.4754471,19177049.8634757,23195429.3700813,19646544.6531971,1732784231.4434,50338446.6603614,449334514.068677
"2",3084790336.33671,3045,2011-11-18 07:41:37,99173599.1333551,107055235.457017,155507770.794156,108830733.364068,59131517.6085537,32902257.3122255,5354495.79880624,5745320.05158476,2602390.24727213,5967563.3122158,4221703.29348905,3925177.86521178,4661126.86295526,3585769.26324789,4683979.29113688,6877714.34996744,15227431.9389512,56973769.770942,105453995.397918,1721728388.04939,269196240.280216,78123554.2109175,70440484.8707926,54020113.9419203,16022092.4143528,13768373.3130989,18330417.4617935,13919364.5996332,17996420.3029726,2404320481.98156,48432767.8276206,588815509.162875
"3",2765096834.67519,3045.5,2011-11-18 07:41:37,123257484.154903,129827469.934482,363252300.994093,127525670.204808,60627902.6951705,14447322.6626674,6649652.16886547,5995227.48698885,3325399.20408488,3220497.21378571,4006864.12214056,4263657.05549995,4173761.10763032,4551302.50212688,4997176.5770515,5312876.36850199,10195549.0173971,45893145.7414727,74757107.7777582,1300149772.61407,266412111.817699,81170447.7226576,73553845.5935444,59012496.9078033,16604663.4457062,13050579.7053236,15684648.1866333,14503118.3866619,18384465.8118866,1943832321.6358,44771885.0356009,734291556.912192
"4",2827377461.70022,3046,2011-11-18 07:41:38,107934787.109803,151924301.602912,138656321.275166,89407471.6435861,118860517.872517,26646327.5360556,8043476.99078952,4530987.9293689,2758461.91552767,5370009.50456701,3475828.10305677,3503222.42427245,3430322.42688823,3804930.09264461,4811975.46374507,5493595.11912484,12680148.0736804,34861448.6107402,103391810.113865,1588995539.35131,207354733.562487,61656629.558075,54548923.7475319,49519907.9563711,14446105.201519,13449980.3816885,16146673.5456692,13819393.9832742,19099874.2420764,2143847838.80026,43362757.6220372,596727682.787533
"5",1828694319.76066,3046.5,2011-11-18 07:41:38,136831470.996655,48433745.2762439,117778107.323504,133410367.696156,18992557.2384475,9194856.53439902,12395310.9194893,5759049.12373822,2925518.12933544,4006676.69331714,4374777.86974952,3092953.22434488,4304430.46895906,4464667.21204341,4050565.24551335,4874021.72592733,10680666.9595774,19741028.3418164,64839367.541346,735022611.309466,152858829.745043,62951722.2088195,52289222.620668,44019144.8421325,14129311.4358526,14383707.5932257,16418974.427543,13923549.1674537,19998889.9553046,1175641985.94092,44240024.8341256,565493969.634593
"6",2037663308.65122,3047,2011-11-18 07:41:39,39770137.6825696,126691125.280932,114054697.375828,62368118.9736483,42013809.6535224,14900361.713478,4775450.79547303,6065858.94882502,4599072.42498643,4953463.6834228,2998405.61658208,4463786.21761665,3839806.39562328,4861485.30030285,4918186.99373554,4718837.17480548,12555922.6965504,30373355.9122722,65256828.0951795,942277965.625598,226668362.743498,99345672.2192625,62719833.2368888,45748852.8572429,12836607.3487723,13997646.7382679,16582498.2365826,13883562.2716201,18368377.2104606,1514305488.33468,47854432.2967169,433524188.756093
"7",2064232911.74601,3047.5,2011-11-18 07:41:39,40883502.890153,123369734.614159,109700105.547328,132838236.370511,56373937.9541422,41025925.1943606,7782209.6412202,3088588.97867875,3941597.32096614,3547750.84896222,4327399.56268273,5318857.06795814,4593840.84479018,3343687.76368905,4375530.07869941,4541786.8345767,12468441.4720362,22663186.6582884,75255858.4614889,921945781.571561,193331910.418343,93378899.1189454,68797681.8081423,49719424.2851198,14469476.5037653,13402716.9273593,19761863.5644264,27120462.1800026,20601752.0801209,1469578125.95863,42443194.3140944,492623319.393092
"8",2346052751.06081,3048,2011-11-18 07:41:40,114956637.845372,205868617.825662,136147405.505139,96185996.1519497,47006648.4542186,16501232.1713493,6275387.2913402,3438060.01433166,4436623.41477802,4178892.56621916,4862219.80637374,3300006.36350193,4391118.186018,5428660.5893768,4960920.01286642,4115482.56046848,11860431.6236034,26757798.5133824,73465517.2757719,973415122.979326,218460438.120815,105735197.207684,68192436.4571402,48572361.9581674,14824205.8042749,13542420.2203867,19239121.4580294,16315649.0795485,19152338.011174,1560524663.24037,44189037.8693744,694839395.260868
"9",2242043640.81473,3048.5,2011-11-18 07:41:40,139161381.058626,123491426.843093,182595168.808149,61800705.4865624,47006502.0430232,22906890.3533639,5468145.88878554,4512820.69497139,4239364.0039473,5210735.42781226,5506959.71901364,3902601.29055438,3634752.9894398,5690951.06779903,5088931.29672884,5501269.79008195,13796756.4575654,41411677.8917695,90783234.3746208,919318177.154364,258556738.308775,116467034.08622,63538261.0216517,45578272.0700357,15046121.4016394,15647668.3797268,19814753.6397596,15175821.2022481,19550406.9888922,1585952841.04938,50523637.2794379,560777352.622572
"10",2772582586.2313,3049,2011-11-18 07:41:41,170939093.689081,206847958.015325,222100621.346572,102206616.317272,57902895.639473,21885096.2492562,6203974.65559336,3879777.43226244,1684247.92081614,5038577.45341021,4353557.58554098,4436879.57372904,3442543.81470788,4612711.38636541,3706867.26013984,4815053.180566,11870368.6755517,41651173.1343975,149889806.953777,1076928279.10022,384034361.661576,137627666.845617,70629321.4626601,49521832.8696724,15443430.2275223,15872102.3318608,21263608.4650455,27676419.1901414,20341896.3520988,1958488678.08823,40206951.0635386,713786421.15957
