"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",548407068.666345,2159.5,2011-11-18 07:26:51,102126153.584535,74314488.714342,45291577.7937823,130437893.360712,17212309.7016914,17305448.9951316,8893065.87567176,3984144.94900472,4034588.26952437,4979571.12717832,4805304.59202651,3476116.50640957,2852195.22107169,4856342.79053589,4137497.14308005,4077442.50067623,4331744.85854485,7332396.04150472,7890164.9467776,26820109.2367666,7982620.33184126,5356057.19034454,5816573.81110704,8065035.48705859,7699545.67355384,8252957.0255854,10782621.5140584,12265553.3270671,14924533.4178733,92454769.552608,42420364.6436352,378214745.798587
"2",594887975.667177,2160,2011-11-18 07:26:52,132070622.424135,49461631.751421,81347068.9805039,100679508.281223,33892283.7334876,26646956.6738026,9349506.70645196,2253113.79490446,3298153.02401862,5457648.46250212,4436646.41482492,4732317.57011527,3285287.61772671,4254901.95665355,5300862.90746059,3928997.90697055,4232591.79157516,5460784.82991928,7823407.30797647,32312432.7863018,8040373.90176454,5736301.37362983,5733096.75963047,7304106.30506071,7529640.00444847,8267807.75825163,11653882.4526583,12688780.3961886,15544585.4193972,95308155.9314949,40985010.6756181,420770069.052056
"3",621554813.733379,2160.5,2011-11-18 07:26:52,96557574.0773674,103039887.371836,136284011.843511,93685690.4346597,27030012.2794387,23429812.7346622,8096172.85986135,4399534.43198528,4674189.42276709,4235241.73262261,2867737.87793861,4241790.06303506,4867443.18867409,4713856.25314549,4088375.69321578,3731764.81554621,4370255.13064036,5463758.08428425,6949943.7825235,28357549.2794985,5793285.75528063,5398850.96587392,5606341.47773146,7242300.99576828,7633986.03747603,8386341.49034032,11659986.0431745,12007518.3770057,16387120.7264649,88428669.2592617,40886129.6638125,455422570.218263
"4",730383921.246573,2161,2011-11-18 07:26:53,214209861.254938,50476763.986413,135568219.764346,95998769.1703643,62858353.4239227,15419422.2677808,6858200.90892055,2975813.07742906,3599169.36201975,3830564.08996734,4035586.73606316,3446992.85667493,3776708.23686266,4049563.36586887,3293189.4329854,3725775.54524075,4134124.90144377,4555732.88605646,5666444.60768561,21527220.6575074,6633257.85198441,4887498.10201012,5220961.25831771,7280279.79831043,7761837.32857553,8158714.64676349,11577437.6944365,12169749.1550111,16553540.1380042,79286774.8716414,37491909.397879,576635118.594365
"5",554314246.870022,2161.5,2011-11-18 07:26:53,61718577.1287808,73913502.0216036,123109803.282387,40030145.774828,20162274.8281268,18631831.0120195,8292162.16848102,5542574.90866394,4866260.2750969,4724643.24410907,3289055.27115172,4295560.47142617,3680365.78981966,5939063.03827055,3629732.86153984,2908155.52741844,4185727.38643927,4375165.99320183,7183900.90118158,25135843.7420086,5994743.54315992,5172629.835733,5684700.52067733,7700677.22679632,7690688.12520179,8575102.96028474,11511094.0126644,11434187.1321101,16960158.1907513,85286475.3097261,42473540.8850349,390279227.722388
"6",647129406.456035,2162,2011-11-18 07:26:54,152467864.01242,111986168.040012,56133554.305179,89242180.1194228,28788746.6786873,20029687.3516718,7142875.49740283,3751330.79049143,3225273.16476094,3007041.33436903,2972146.23876468,3263772.00014311,3662544.38262695,4270253.34932508,4756179.55782777,5459931.04227319,5541856.25405787,5463442.2471152,7460233.24630857,25573444.4095924,7450605.41222474,5918819.08527995,5874831.90085922,6883796.05369303,7534522.85701735,8296640.54517049,11200918.6928595,12669131.154935,17362781.5937687,88476976.6473034,39391909.356098,482029486.956638
"7",640637392.431685,2162.5,2011-11-18 07:26:54,132223572.702192,89829548.7259896,99295189.758731,74984429.437859,40644634.8238177,17857176.1385925,6821378.42680961,4424519.49736044,3152929.61548898,3653760.72593879,3516404.52591555,3094910.64723605,5030050.3914092,4751821.45616664,4890386.42890786,4103660.86747451,6221942.05933251,5571683.06737241,9495257.73328119,45365748.3124629,10127887.3040528,7538674.80808696,7188612.4030078,7792668.0225307,8079989.1114842,8693946.02810534,11213249.6517656,12263701.2075483,17368166.6903758,117815310.793292,41534102.7647137,444063872.699066
"8",715072548.690465,2163,2011-11-18 07:26:55,192231498.060573,88399988.7414588,104696728.773817,81294914.6999969,54787122.4779948,33858580.3246743,5071614.96185088,4442650.57440744,4101319.79038457,4420257.94026853,3025513.86279521,3091140.11074701,3719819.28934464,5250708.52122887,4828731.39968677,3858556.75298097,5755335.09260304,6665945.18166556,10010114.4046864,41457102.8723868,11895191.8299996,6204608.54885884,6113744.73786982,7945286.79552393,7941526.95233493,8094342.6192121,11484160.7995021,12200522.7274292,17166339.5551301,114502956.391394,40458933.8231001,522716625.840789
"9",583869634.616457,2163.5,2011-11-18 07:26:55,131296499.280258,134457416.408633,50681983.9468526,71696312.1451172,39974296.8159337,19887072.3217586,4003157.92081152,4022638.59384078,4351043.97360427,4476677.1406236,4068298.80975875,3700800.34114853,4127915.74940067,4523686.70382119,3701212.21584619,3424633.61059182,4052902.34877787,4781181.35545446,6865292.25753521,26879391.2841527,6129521.42476374,5424573.107863,5792921.35106014,8136030.35601339,7466706.2856787,8155621.36651753,10989867.3875474,11992988.3914657,16858511.4534719,87136107.4739269,38348158.3881573,422024276.21768
"10",660923320.604199,2164,2011-11-18 07:26:56,116724372.610758,131165543.660463,42373864.5008541,74557301.8678607,51496538.7759836,18131500.4317534,5178061.81624544,2817838.07417848,3728620.49361769,5380912.01950422,3094978.91673344,4220376.76321049,4274189.14517722,4799245.76516032,4917838.60671462,5000548.39682894,4995181.89831647,5542790.87178618,8278043.46991624,33857563.7093033,6675899.11324748,4728465.98027199,6210706.78580152,7309907.87412436,7709420.25043755,7865713.63917855,11618624.3300864,11786595.6240742,17335782.3512467,96280189.6875148,42310218.9437742,485630889.062752
