"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",2402806044.9944,3326.5,2011-11-18 07:46:18,422280535.524886,87228912.3596609,112647192.626716,103517918.719204,81485720.5539617,30883812.2317766,9754380.80186024,7213994.30701287,6659165.15784844,7484362.26959965,7202161.81151586,5927902.77956753,5326855.61431626,6937019.01429616,4903812.9187055,5575035.68048778,9178327.0527923,11302599.6591882,40642572.6407763,591488052.790315,115365631.473004,102391396.042238,72929629.9267526,92084687.6792185,22454480.7855245,23706503.7693867,39582206.2213186,17938387.4643768,21735432.8262346,1090920849.3484,63789648.1996235,1180874563.59367
"2",1964984350.0917,3327,2011-11-18 07:46:19,347390495.903775,86006489.474766,116027368.653865,49975236.5943578,59666713.6780601,21905361.7070947,7494494.84611352,5658411.36122955,7928404.96363337,6977577.0302568,5624597.61515585,4035407.08535903,6178048.56272647,5173823.3579978,4752471.05702918,7581715.95021493,7387636.80426141,10825492.7045539,44770720.7484984,572579424.643182,106848677.322547,94233203.2751324,74802932.54622,72016034.3642595,29170449.0252112,28781976.8366352,36499781.9638804,18216568.7894114,21515149.9101738,1053922910.79067,57349440.2486979,792839115.677929
"3",1812438680.67441,3327.5,2011-11-18 07:46:19,127076885.77634,108177278.376972,139928994.426849,120653658.085069,56612191.8394949,31410846.9125533,7784978.40026226,6658408.83482109,5488562.11774598,5401627.15871397,4647440.52111016,5007128.80050678,11415965.7033388,6423976.67724813,6576731.90621619,5257631.97958164,9514426.86396376,11323954.2796555,57113777.1425897,633093260.650139,98103207.4701391,104639390.035452,72353050.1300707,76418159.1198869,28456232.2787394,29031849.3625521,38829224.1155651,19758075.6224205,20393577.5202402,1132287017.65161,62314896.0861554,555171096.800052
"4",2004023345.82321,3328,2011-11-18 07:46:20,245541799.149197,121825474.703208,88223077.2593237,148557666.890785,50906507.9034274,24082022.7770512,8730174.12867723,3198175.0933493,4462961.1464809,5253995.59210901,5200123.47154006,4254157.87146401,8524501.41218841,6089346.59378366,4315586.06219786,5048866.80466576,9042810.86921071,13771758.700569,66806672.8999338,660367492.627572,121597999.828088,97947213.3492246,75339308.8170576,83346549.9707623,22797726.3736677,26831429.3817581,38605549.5746962,17998300.8056504,20704124.967463,1193176787.74733,50945841.1322582,699783159.556025
"5",2006474973.90882,3328.5,2011-11-18 07:46:20,209091020.807022,59625788.5744282,124618001.173519,72960466.6858734,47213080.770714,22258641.7893354,6802573.9961053,4992783.78125747,3757760.10425382,6927060.67976465,5949847.69064906,4931298.28188502,7301102.55073894,8705927.50425179,6605732.27983792,4878502.47599177,9884313.33168281,16291051.2810164,89631347.8082746,743175552.288811,122964150.714791,101790887.567512,66367339.1965176,63443818.0574403,19491766.2100001,27279552.3230734,35462289.6195153,17352920.3154421,19868804.7854045,1273303215.47247,59653133.050815,618545693.773445
"6",1773998923.9983,3329,2011-11-18 07:46:21,94762728.3752457,29019190.6165042,90466694.3640823,112816900.643885,38915246.6765126,27727796.3296483,6894987.38010763,3876667.97352603,2869422.90886516,5806057.00925227,4728772.58787229,5150972.5151274,7184958.33250531,5787177.76529036,5773923.77515952,5840827.15521754,7777859.12874508,16367164.6666646,78537014.7093863,690827700.881666,145555387.718572,90573704.5735053,63955521.344984,90285162.8761384,22718802.0882211,23858710.3352305,25044351.9011141,15542927.8230255,19321927.9129259,1239001898.70271,51182641.4903072,436324645.635166
"7",1838812680.96869,3329.5,2011-11-18 07:46:21,134792615.629503,148693270.509139,82883352.8611512,83125692.0180082,20917324.2858478,23666627.8734245,6014490.74571928,4411392.74958443,3757589.22318442,3858391.35440857,4340807.28206143,5220491.6558943,6778983.35271857,3917195.61425915,5110267.78327512,5943737.87537879,7760822.63733975,16576595.0857791,79675275.3910188,655585674.010751,182563158.161181,95559901.7255789,64419022.4907246,87447718.7226871,22411624.0242247,23804611.0112579,25360341.9022545,14694578.0649024,19494055.7004192,1242499520.72751,49509462.6290498,499211313.464251
"8",1709807180.94511,3330,2011-11-18 07:46:22,159645788.81276,98257710.261683,67540564.8900459,79903289.5222162,38315914.7971372,43919689.6140414,6115155.39444015,4858049.45809309,4847637.03179123,3953305.46661815,4073252.14681972,3977048.69178982,7037579.75064122,5243494.99189547,4497971.87895472,4524673.81328155,8484153.92036907,15983630.12764,69507958.7205979,592408946.058284,158927881.915991,108141540.061409,74182534.0542075,74219579.4110637,19852463.7537467,21322829.4473485,25987670.7307356,15174064.0653142,19707423.6136844,1150502298.05505,51636217.4054935,459763799.552412
"9",1801335167.90265,3330.5,2011-11-18 07:46:22,201872329.824171,65919399.9342487,69207009.6995345,107994561.423082,39650151.7672236,12622594.4876103,6375412.12911816,5310779.03713907,2873122.54543386,4760611.09363218,3342856.73743588,6535472.23249748,4790593.08778268,5880480.65709398,4458260.23053412,5395286.74807239,8553520.30884043,17527773.2616575,70505454.2422726,669518016.974108,184399656.171412,100961524.647845,65906539.7475257,78238157.3447191,20778739.7879414,20804154.3165005,25271333.1625729,14957906.7841886,21681186.1629428,1244773200.09927,51337700.7829072,457008497.802693
"10",2060251430.93294,3331,2011-11-18 07:46:23,267287031.911509,221756342.362785,127408751.563494,38198228.3287098,34722997.8015973,28410557.8838023,9493049.92906669,4591274.52139984,4472757.6457506,5085204.88914436,2997046.41631059,5077915.40301284,5844335.77234607,5381412.32406392,4988116.01866157,5464265.51682515,8694514.26972037,17043263.5486815,63380857.5612428,806135978.924432,170559579.168212,94336248.0956946,65214504.6385405,81495961.0882451,20592343.141227,22253661.3820224,24623919.130965,14082150.870432,19965164.7770939,1359505069.25592,50694794.6276774,604450365.7429
