"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",696758000.850599,5401.5,2011-11-18 08:20:53,168436044.219736,50348180.6768286,41012337.0593209,71386268.7589011,58780881.4137963,25992505.5873835,9218575.82400016,3430133.18130271,3657499.77428315,5473273.69996587,3859178.43562107,4322896.04916671,4054837.72823478,3863346.48744137,3413940.53431825,3402815.13215431,6044703.93976592,7092042.42364289,11730490.0251976,50267614.6812243,18453969.7448665,9285935.33252629,13279890.3533816,22221465.7707113,11083759.8686576,14085758.5500403,16847898.2836925,14810193.0434149,21546659.2542794,169135026.804449,39901368.0783312,441609574.078657
"2",608942774.235074,5402,2011-11-18 08:20:54,78210938.8304207,92885632.609202,53199398.3089954,22121812.6671743,65230212.5706333,13224852.7705085,6673697.98794994,3977926.54165321,4444837.90583007,3851791.29209347,3501002.67688295,3961558.60126496,2941649.61720921,4111893.83323694,4207967.7141922,3958701.1139424,5503282.95325046,5604880.8855425,10443039.1987475,55584180.1330178,23748515.0318735,10700378.9648566,13598879.213987,24204147.3849124,11828623.4554093,14639600.3456136,16514845.8249234,16346359.9846469,21360848.2466974,181531083.680192,39594422.3252605,340105050.323817
"3",1107082928.65892,5402.5,2011-11-18 08:20:54,226013146.171624,302429527.62823,171804740.767862,65327871.4153674,95382226.5425487,30480943.5872739,5650513.84749036,4356547.11229779,3968755.55452652,4683594.74701665,5118686.26868998,3677714.58370417,3186625.43364231,4232669.94338965,3466562.39067152,4594512.7099988,6217686.70508602,6033914.2511748,10071612.2891513,74055402.9346782,24668075.0744648,12234669.075861,14321137.3688708,25409575.6722976,14258307.7663254,15382948.6814719,17457522.7799652,17222851.6577381,26146377.009844,208418601.746632,41693734.7943035,802249695.117723
"4",834047160.300766,5403,2011-11-18 08:20:55,127485012.605335,151544393.526319,87473504.2936421,76808276.844115,79940831.9924707,16309786.6801115,11935733.0640078,3481745.59367277,3192981.5860746,3724315.94309618,4690710.726127,4920939.07748776,3418832.14966905,4494996.88354812,3835480.10618222,4045979.22895408,4980425.2102825,5106191.70994149,9406100.58400411,65551051.418184,33081021.5811926,9021452.19872265,12037515.2184093,18938172.7098441,12261747.8875284,13947236.1489185,15518089.514158,15582154.3259077,22056816.0100654,189309957.560918,41685882.1850193,555238306.690639
"5",728077803.89141,5403.5,2011-11-18 08:20:55,111032741.445747,91087852.5747775,63742663.4693642,31252865.3938988,64889186.1841319,34874115.2259431,5611166.04261192,3110105.08885616,3712232.0521693,3133306.68448951,4439015.95711176,4533038.57289861,3519301.83484537,4791188.83550137,3609162.71708972,3469189.999455,4213962.79418065,6992765.06124697,9169011.45645721,59991859.0435188,33143695.8015063,10425268.7730699,11492572.7128271,21680975.1323926,13336770.283959,13570205.6855113,16372449.7689671,15409692.6393336,22105450.6786875,190712378.097137,36959892.5050211,453022661.144246
"6",896431170.999485,5404,2011-11-18 08:20:56,183397529.468283,94030455.0214271,106244876.532252,90015433.3089574,83616233.2147796,25979364.5391985,11306152.3815629,4885445.50573192,3678822.77498603,3364774.63717323,4645184.64763017,3987076.1561344,4451155.17851471,4946963.92419404,5988818.75898134,4706926.61979576,6021496.59531949,11752227.6634621,16212236.4773987,110935788.299506,33959741.2809828,15256158.4211933,16373816.0273717,25265224.0932066,14519125.4844434,15093475.4259915,18577152.6631678,17288376.5273087,22352688.1441005,272501840.543676,45664192.2718169,527737071.882056
"7",772292174.868037,5404.5,2011-11-18 08:20:56,170125109.754702,69540314.0909079,57101287.8152023,78987064.4951899,56015707.6184978,26093066.6316002,7578178.52143774,3564350.97064829,3246771.12528448,4969389.88564068,4235563.31471298,3848909.14823062,3384852.68527518,4566433.67749373,3454574.47431495,3488078.21738979,4849280.66139809,5914308.47783759,9114386.70763384,55777602.7993747,26791466.8198549,10545807.363535,12029419.8307399,22082525.4294061,13128424.4584877,13489868.9777103,18601110.4279972,16626726.0021656,28336854.9001379,181048013.617714,37706890.7882136,496869815.804088
"8",1111995592.46291,5405,2011-11-18 08:20:57,339258346.707138,136838436.521011,67858637.5091783,60915798.606689,75396781.7662651,42307011.9338652,7296097.03301111,2947299.2819733,6715113.01213197,6379037.21414327,7718598.10187039,7974689.74384613,8798513.76229012,20528697.1594067,4536275.18861187,6794324.44001302,6042692.0518816,11101485.3462238,17393428.0360653,103170576.693097,36106865.8887195,12413233.1203733,14238354.3269285,24196619.7082857,13983640.2182531,16573495.1724458,19283666.1477066,19099620.3764742,29776288.9682759,261690470.968556,78230019.2455195,709868196.284207
"9",1162472793.33808,5405.5,2011-11-18 08:20:57,130596377.252706,430979424.271804,86887067.2946617,73125007.2111032,31270081.1666415,14429803.7497116,8226945.14045651,2289844.04777131,4351063.55191171,5856438.20378891,4135880.60751589,3349551.11243864,4247342.8713911,4128687.724415,3360205.31799652,4003205.53257599,5123346.36622091,8498781.76412078,12366935.1852603,78858560.7065216,29881226.6831583,12788495.5787713,15790415.3492024,28224748.7997358,14471778.6643952,19418162.44308,21292109.1462607,18068374.3426918,28373928.4761096,234772255.999166,38877375.857951,829853148.870679
"10",1043319316.6346,5406,2011-11-18 08:20:58,194265642.66282,226993812.978729,54513779.9160656,83110419.9408883,42480374.4424136,35980653.992133,8711696.19034098,4279426.78198619,3827653.52413223,3079747.15577512,3308674.65610204,4757316.94815787,4386603.2636903,3812966.09636606,3757878.53688804,3496089.7487506,6291959.93946776,10098610.7017359,12470889.5732885,74827832.5958684,38086566.7558476,12380785.5922154,14886565.5792639,26400013.3202483,16412866.2465611,32920579.4354363,31471849.7934179,29700042.3685968,60214181.3435345,260704218.429889,39187460.4105226,633060667.844787
