"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",1238143797.14332,2990.5,2011-11-18 07:40:42,184187370.815987,223799554.528568,124058960.84334,89177852.0877844,24654034.4420519,29785073.2625614,7733166.415025,4383596.32340513,5205902.79753757,4888282.14910156,3103423.63999345,4911804.564162,6742600.73663305,10500675.77222,7736101.48708875,7544273.83358745,9010370.88076083,7886214.74652251,25038074.5262889,216402065.336322,79298330.8845479,47981583.2058464,49149671.0920918,34991829.3367293,10555929.214477,9863185.39754401,12601533.5591251,13318750.484577,17370069.0224607,491221276.826136,60756008.6040505,646978420.111274
"2",1244190766.16541,2991,2011-11-18 07:40:43,180784407.323929,121878718.21046,150405111.580887,143185610.589698,61381993.6466132,24715652.256767,9095827.25112407,4599889.47020221,3944898.46205524,4577699.66445007,3656998.39621475,5104028.43855238,3830471.32201774,4449333.6657969,4070127.2136615,3779099.16008026,5374333.54980449,5849746.58165818,26343468.8766611,224889675.688337,64792227.0034666,56587335.363305,51538066.7794823,33669906.5364177,10274108.7566043,10126080.5236075,12708582.2736251,12866825.6703243,17136593.3635556,492392483.618328,42571824.8489847,671289681.222073
"3",1146201873.8042,2991.5,2011-11-18 07:40:43,148101492.930607,100428672.293969,60409806.5660724,104792295.437078,56765763.2074965,35852149.260228,8493925.64288436,4161764.27050227,4441769.12875657,5354708.7962324,4834884.58432737,3492612.9931169,4090390.56269443,4466751.84357203,4584290.89508073,3370778.58664958,4527474.51503427,5470683.40580489,26558794.5095629,262209070.299546,66430353.8219336,42361618.0343158,54831517.9982963,31059749.5789268,9820606.99731646,10077010.6474544,12919496.2749243,13325874.8748344,17816679.4307697,516548064.870518,43241794.3604555,547178839.880573
"4",1248364697.3565,2992,2011-11-18 07:40:44,81569505.3679901,84555689.5149739,71928482.3875014,56967723.9087584,49914545.9987885,35069083.5768811,6497129.54825839,3285769.34315347,4057318.9831361,5413549.80658428,4042326.12617472,4736692.9958224,5096038.41237673,5967750.67453249,4677500.09460691,3893862.240029,5384869.06034874,8373524.71047803,39792726.8111305,387890380.33905,77084518.6302264,38761593.5054985,45823081.3157137,29207599.3012984,10391703.0201096,10584860.0221103,13626668.0475154,12954059.5885216,17237289.5774878,657096885.741458,45330601.9585539,507357353.542311
"5",1097429417.66466,2992.5,2011-11-18 07:40:44,66805165.5231332,167614165.898417,69513483.610952,83554604.5343153,30393594.8879335,31316770.2159053,5580174.61297843,3988233.81447491,3647463.59997269,5543261.41793457,4140850.6805032,3570817.83690198,3445900.74955402,3506350.18225496,4928829.49532436,3823505.43473744,5718977.20937022,7371814.38905722,35135824.0323144,291283856.920841,67827826.6849942,40984139.1465784,47626794.6521444,31850329.8624709,10735251.249786,10493182.6700992,13354335.7464889,13277986.1498747,17221733.8578547,552576068.713677,40127283.4175319,465983050.79708
"6",1346738608.10146,2993,2011-11-18 07:40:45,167911078.683894,256689199.894793,101507251.942368,99622448.9019712,51621381.6012287,23858345.4343049,9787269.69222435,2743419.82273395,2330513.34866016,4711000.16644461,3892015.86597618,2323846.26548549,4241022.11859458,4111112.23938733,3752101.13626055,3263361.40447726,6114239.47527537,8672598.03984122,28250189.2616565,341745214.937164,82436788.2911727,38597381.5200775,40994621.9719833,33874953.5503777,10263172.1405466,10292214.1747043,13743636.7401171,12880019.9980533,17218363.5883474,603643322.033734,36333110.3736906,668076642.321424
"7",1209365450.92175,2993.5,2011-11-18 07:40:45,191022914.071334,77316665.5277893,70591458.9409987,70313982.9637534,49873096.3525384,21682432.0779156,6684222.2032849,4800225.72958315,4694332.08801208,3581966.89201692,3261197.66951431,3463514.71491686,4878969.84723364,4118113.02123006,3622853.23689025,3870592.50750031,6195002.69136126,8082169.7224527,39058617.8016271,324707118.027368,100057511.187682,46468852.1917909,33634150.7925541,43153660.7636815,10651537.8873855,11422546.4771703,13525628.4281672,12831473.077103,17709966.8492166,626310696.786003,40884719.5141997,502540812.944562
"8",1383821754.64977,2994,2011-11-18 07:40:46,299898105.933856,151690932.513329,91685157.0580307,45532913.8541191,78132665.0917649,21844323.6973541,3319533.08688699,6179545.74918575,3499532.72102032,3812733.4159356,4752579.43522524,4509286.02371965,3970473.55718421,5277293.23111578,4547181.78337042,4038808.29215069,6111673.06085291,10130110.9510642,32880775.3553256,359534648.59887,99222813.1654364,50787426.2422749,44966843.592612,42807639.2003931,10086299.7289353,11109765.3447191,13147318.4897907,13085378.2463356,17606570.923526,669405735.990371,44423981.3878745,630248150.3846
"9",1113910377.08634,2994.5,2011-11-18 07:40:46,64416973.1304682,57853043.6433892,113545563.789427,72687643.67291,37612567.906289,17199551.5044526,4263089.29198424,3872792.87510876,4337511.164581,3169683.64347393,3983631.19687632,4240981.60290508,4691329.86200082,3628575.07871398,3879739.68356639,3545256.94785927,7265005.29467499,10347662.010448,34509224.4334764,369603806.981427,90678137.888436,48371102.0938965,47956033.030424,47075914.0314624,10351967.8307368,10905259.1482399,13275137.3059457,13425667.721092,18502675.6167577,678966785.064371,39482413.1412197,354673299.192039
"10",1217523746.24059,2995,2011-11-18 07:40:47,124412221.675828,225296940.094797,89467330.8398431,95282904.7040727,22345803.4491801,28749513.9474132,6094382.90692838,3512378.37178702,4791522.41900362,3354261.94379909,4668319.61720852,3993154.81792999,3720316.65387591,4310743.17353751,3633014.73270399,4765465.21060839,7748043.68274143,12121653.917671,32625229.4039669,327128379.500118,74438211.9733907,53463099.4376315,48824045.0071789,37998448.6848582,8895095.09155313,10312883.1499681,14292592.3274908,12558335.5076925,17965362.8332618,614806160.215295,41667091.596255,521097481.224212
"11",1317323760.16998,2995.5,2011-11-18 07:40:47,162478919.929403,40118397.1415523,179438318.992507,48986052.5413585,49680924.6742539,18320820.1969057,3791142.48265873,3813151.11373401,3211795.98430761,4211114.20602222,3868590.94817752,4519728.3951299,3334646.2203534,4288558.36562696,4296555.35741831,5020642.53896252,8121240.05832413,8965608.46382649,30881759.0717664,349245779.032307,72887457.9246333,49560051.344842,47858307.6967021,31695091.4374442,9224363.34235205,9672932.13864526,13032858.2666213,12779189.0805355,17963787.0639964,619338565.203516,41307923.8586935,617329644.274333
