"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",4455317080.73841,3294.5,2011-11-18 07:45:46,105813866.835355,95680259.248755,106921425.654336,131537168.071551,32747561.8520485,35110773.4714214,7425520.22064462,5539573.79860966,3737706.81087843,6134231.55714437,10620833.0548246,19129158.510621,15306865.8454845,16475921.0305357,12402787.1589853,11215351.6166815,21507619.3162629,24164071.8539228,180543557.051397,1485828554.35597,361129952.109408,416017923.888606,371665542.007153,502396546.147442,165781749.829481,102338158.163586,70919066.1835896,17485713.8887963,23838712.9747726,3657255387.42548,114790184.016763,606897283.186559
"2",5961691248.8437,3295,2011-11-18 07:45:47,351438531.975251,330665004.510606,337463434.87938,180730651.992467,48645018.3075918,84492308.0728768,15528183.1605865,7345532.9598653,6155266.6722808,5296164.09910509,11176794.7398275,11181335.7061135,13032374.3132416,17696413.4795913,10380576.0906764,10083356.5089706,25279002.3951457,31655039.0690649,145357195.996501,2152575494.89093,277232507.87869,386253237.009705,415961202.430725,550114141.53383,181122604.344778,117660582.261105,80281152.9568097,21682822.1014744,23440099.0053309,4313047582.84684,109162532.58725,1454967620.84891
"3",4395540299.60399,3295.5,2011-11-18 07:45:47,134656601.272993,135190014.372478,145147400.76664,148993080.079469,69288450.9669111,49679041.4336653,11827338.9597482,4173249.25852333,4331106.84283122,7046119.03754864,10969639.9132377,12327502.2460717,18836008.689424,15526148.526128,13396484.9164333,10145463.175569,19223619.2033217,27474647.3686512,137649664.989678,1503286102.17769,302171831.472077,400657004.856176,321539723.639627,335983403.786333,167434026.409214,100465935.486011,99521624.5958814,22226120.793496,21073230.867625,3352340576.83324,108073607.196439,840332761.057846
"4",5611007490.12304,3296,2011-11-18 07:45:48,458309662.582295,171884466.403874,92231718.6510275,79415397.0520004,33964386.9895632,51596965.8759637,9455814.62928042,5219199.00749617,6436644.14253168,4509864.26001779,11571681.4393826,9114483.31653678,27170006.3851198,10458395.3097568,10688092.9614112,9478963.20638894,26420768.9100826,28840013.585909,208203485.474207,2057768811.36062,472751549.587847,599320484.335694,448006127.640536,455622091.217026,145228598.897164,86742820.4446838,62780984.0759102,18110638.6766131,24297326.3513252,4540307823.01428,110314525.767616,890215808.537763
"5",5190235855.85999,3296.5,2011-11-18 07:45:48,398925010.786725,159466923.11941,146308107.207709,179969944.356745,83566781.5142976,27285794.1825988,6834121.37006834,4767605.03676538,7540856.16342175,6928622.94012414,15052555.7076764,9243174.74537328,23228051.8233197,13182648.4759797,9554596.77011368,10260626.9663125,26916972.7047309,30996469.1244558,261842219.534812,1866985620.80832,327290712.45995,505714954.303193,347536631.860216,429238073.048094,149027756.974109,92200450.5633594,51877498.7445381,17766491.6525465,26733012.2226733,4053532709.30995,113753666.475883,954186763.005628
"6",5642378263.87692,3297,2011-11-18 07:45:49,174059743.402612,89526281.2833422,188893617.296368,93448459.0861049,66296949.4512645,28986960.5795199,9331070.6051278,4124310.06076749,3899178.74395695,6645656.25489457,9755765.13179623,9143972.90451322,24364042.7783311,12299132.0852045,16788097.6621662,14855480.0658149,38705209.8091734,37268896.7025483,275027367.637273,2083071186.91847,436761685.457117,563837264.257876,549264865.928412,526126256.807481,179776503.664087,102744920.513436,62454770.8168413,18374250.4277525,34965789.3363801,4816131622.53486,115734593.59373,627067137.960303
"7",5842580641.56367,3297.5,2011-11-18 07:45:49,337101920.856744,163512577.205517,164257740.36124,147169620.517176,49864038.1873297,13206328.7946947,7396644.23886029,3842705.68546468,6263029.82522197,5168917.18475098,6523337.71986714,13323545.0241685,19876900.4921023,11336700.7030863,12432525.0131155,10056082.2603176,33208197.3201038,36165960.2609956,312749685.51324,2078081805.93723,372840625.92987,496008563.536379,419233648.542497,463263860.998459,216443632.593918,109069607.107562,51334594.7373517,19927227.6791856,33669122.3065419,4557733018.34394,99738002.8204884,1108923152.41083
"8",4364342954.42401,3298,2011-11-18 07:45:50,107935515.78132,157524396.575978,117965015.81899,156944177.646121,36097285.9553638,19574188.9457954,6371923.9526058,2240313.28533392,4776353.00559808,5857991.90936014,7314484.32339773,12898241.8784378,15996156.8864699,11946054.0918018,11653749.7803849,11672807.695104,30854527.1498019,44086909.0679059,309815485.369421,1817716303.30585,293891115.525562,268676357.380206,266394572.545412,309286187.965172,125427849.958844,96986440.5976904,40033577.626813,16840713.6524886,28003154.9057614,3575386069.90145,96927912.4585295,628978951.349058
"9",4249804584.12197,3298.5,2011-11-18 07:45:50,249444980.020411,104010668.308877,116983090.499022,124402922.465305,80854827.6581056,21296718.7706462,9309110.97456822,3357693.22180949,5180459.60871845,4452011.99868188,5661022.95549454,18216999.9039438,13954624.9119913,15130023.5601422,7793647.8012868,8796841.2446743,39214544.8063111,29205464.9045463,224778145.268319,1437945808.78972,273235072.491616,214466542.075323,308889406.169708,384062096.104229,186795619.713418,105413721.387222,40486240.1641538,15278806.926066,30390346.8679841,3214702155.75938,96131596.4186436,876168948.220682
"10",3337186089.76051,3299,2011-11-18 07:45:51,67734948.6961557,148102689.773886,84954411.7134546,63185911.6095811,41887421.8821097,19200367.6973838,13232056.0550504,4117761.03452831,8160944.50663562,6119448.72238691,6260172.52393212,16580716.2602703,11471818.4857967,13196315.8324499,7493813.94227086,7165984.06360296,27708132.6413212,37263199.3259791,243460981.745093,1192886271.38062,289855763.869071,202236213.051601,196020389.105795,344457674.37426,143307464.574727,92371025.9036074,36537695.3525724,16999346.450695,28566279.6738462,2772729468.67245,96099676.6892402,408979904.138216
