"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",818974174.3324,4559.5,2011-11-18 08:06:51,121121877.957786,139560703.926061,83251218.14191,97561436.769513,61909664.4617503,26848278.9247041,5841650.78119288,5658592.97844855,3043457.07881059,4635934.35862221,4405727.28126819,3987803.49684106,4809680.32801298,3581571.57298727,3816317.62795379,4113609.03873565,4540524.43464314,6409924.31828338,18273958.9479956,71596746.0195173,23057446.0975051,9129256.06125221,6695420.65108132,10040881.7831738,8076594.87397415,8758336.27898439,13896390.8672614,13592496.6068292,18251875.9726355,171269299.519949,41741588.9395465,565932540.708506
"2",783911958.884199,4560,2011-11-18 08:06:52,191579510.413107,118829574.290967,42778155.8854136,117086712.178127,45914299.4134122,9482905.24700759,5949334.37887673,2723298.46206659,4454855.76812839,3879703.7502666,3934920.77084761,3543962.18045746,3486814.02009022,4119282.65120089,3252570.37680505,4642797.02534937,4132544.40617987,5511808.34302517,10359405.7744983,61714509.6104934,17530409.9489378,8419412.48326551,7105734.27790645,9908646.64604917,7341433.53913774,13341239.3437625,26937664.8885546,12826741.9330813,17703642.1657112,163487960.221481,36942101.5666932,544585104.184293
"3",864376839.003496,4560.5,2011-11-18 08:06:52,166709217.806879,185777251.752655,93951782.7146059,165012503.016973,39731279.8376483,9640556.9549651,9994108.09841411,4099140.49491546,5617624.27998437,3454630.4506736,3541374.66359687,4580713.15627639,4563027.04217668,4139847.65856639,3351495.52280121,3702345.90533963,4444843.92199576,7761140.19182167,23021528.0448737,57797116.0029599,16619410.8714295,7962810.91167099,7754407.01567479,9257591.3822577,7948345.69689318,9337864.93790966,13131522.9228358,13018148.4874356,17366760.0815755,156107079.683012,41163107.1015642,629040414.808093
"4",839689793.828483,4561,2011-11-18 08:06:53,151175940.014296,144605985.354019,191958401.266998,134978381.103426,49563736.4875304,16916592.1661246,6855018.29013754,3729759.50602384,3238626.4432857,4357029.65588417,4129732.14403515,3276971.91855439,5013534.47145179,3817786.20609356,4068682.1933028,2860486.85741562,4784883.84994758,8524521.33794445,19100981.8321098,51402925.5850565,15956760.3878004,8042956.14278395,7548908.04343937,9210965.12852887,8383081.75722575,8787319.14607674,13832941.7046384,12758525.6510444,16931726.3452488,146221551.52547,38753385.1241026,617067928.723146
"5",910968849.629624,4561.5,2011-11-18 08:06:53,147014005.510978,299498028.297279,121015530.45198,70091802.8051901,20102564.6201823,30627279.3043678,7342559.79589433,2535472.74003695,4589039.40303945,3326641.15366812,3925421.40446846,3182495.79018115,4588112.09080663,3872363.55650966,4332685.37349283,4201427.52348857,3735009.31524322,4339590.83996783,8457500.47621489,52620758.1146978,15191301.6568414,7635248.69449957,7935141.8496529,8953145.62869876,7713976.91198227,9501820.99365045,32117152.387556,12650917.310281,17536916.183118,149509746.017614,37762348.3958155,685286016.774565
"6",732650203.088006,4562,2011-11-18 08:06:54,137425073.227269,130522418.503711,156132970.063671,74101807.3006231,42155737.0741934,14924807.3553052,4965380.43367916,2908319.75487456,3610087.33381293,3820873.92949084,3794425.68286743,3004427.83258274,4623070.71322713,4087537.19381705,3610926.42758631,4041602.25655629,4655025.49749264,5239444.95718554,12684648.2326278,63683162.8445036,13880717.6123067,8506572.30435099,7717936.82841183,9205840.19867159,7740462.35546217,9118384.70491445,12351572.9055516,12145051.8642853,17254014.3620603,146102945.966585,37375597.300882,511993152.330082
"7",797665510.772734,4562.5,2011-11-18 08:06:54,136390128.961069,72389506.9439729,90576590.4939483,86430317.8109024,59122477.7085524,24609316.3548699,7826605.37174401,4142102.38202049,3554470.72894424,4209572.62806072,5999212.28519145,3518937.32723019,3758547.79853464,3983713.48625573,3744100.8219193,3388876.12618248,4217508.82906249,7016649.74701661,15725456.910919,59859402.3516804,12794359.4807246,7929444.66186079,7761133.3042308,8812989.55069072,8146920.73145917,8870983.69222604,18683784.53597,12611353.7976883,17454135.3833328,151628735.259687,38600796.7576573,569713863.403235
"8",660771417.218823,4563,2011-11-18 08:06:55,89150133.0015577,67097979.7886152,93876238.3033559,57121659.7120631,94615699.1400351,17640207.3315665,5882873.03808104,4529433.99040328,3812114.71207291,4095741.98498357,4213728.34225024,3586095.65555851,3467994.3540102,3900130.82332536,3504071.38535992,3553640.22234005,3707272.97399375,4908375.83587987,7975279.2367796,45766461.0452373,17700069.2323494,6835694.09723488,7254604.62148531,8847179.05495952,7891030.32092421,9220346.17025508,27276192.5754525,12810574.601646,17822124.0534992,137838166.936377,37659477.0185618,445504339.484769
"9",865897145.03861,4563.5,2011-11-18 08:06:55,126152977.940237,76017760.1563565,163729943.863832,133911269.875367,113155891.586926,15088931.62191,10841889.884605,4872135.30751526,2977604.31237987,3858059.74547453,4327190.67210928,3458844.75691308,4562983.67355861,4977013.65158916,3972371.31387015,3930613.11041285,4376205.3618966,5840587.09546705,14358963.3326699,53391330.6961413,18703574.7869961,8888801.78841629,7880169.71001233,8852828.10951055,8138778.30020189,8493399.98019151,11979401.676809,11914600.8009397,17176374.2881508,142666688.709093,39789270.9217302,646911226.672415
"10",984119325.689244,4564,2011-11-18 08:06:56,266561992.3271,190831173.518808,87811995.3291826,107920919.817893,73449539.2222392,22831534.1816498,4018721.0270331,3175339.94431187,3128666.37073518,3853296.40949252,4437703.47273276,4081798.07842101,4096681.75868226,4903342.40376934,4022605.59141649,3844373.68765866,3939741.56164012,7113529.0318558,14234198.9248174,50693614.5369563,21964174.1099112,9762634.54368665,8691551.90979706,9113624.52347576,7732414.38138312,8105818.8625955,18616400.4509139,12597087.1518827,17567703.6527175,151843298.203623,38037161.2928925,756627477.55798
