"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",1091952265.54087,1567.5,2011-11-18 07:16:59,316978820.245169,120438306.155558,78052760.8435959,105807616.059606,43343418.4940595,22197392.6527917,9640637.06990665,4642013.03693553,2584831.82387076,4023733.73616717,5448296.09317689,4806526.55539022,5516911.06762315,6249984.94330542,6885285.24601223,5915992.55052484,11756702.0320583,11560462.6580057,20079742.568571,213565063.993473,26642287.1887602,12630740.6241093,8152070.76384861,9625914.74734912,8243572.08275043,9167223.10772897,12282039.5390716,13034967.1041941,14403645.3540261,330514219.788731,53297502.293869,670612650.654663
"2",644008985.127918,1568,2011-11-18 07:17:00,92218391.7594867,51762632.4264158,124166649.585158,84469429.7190267,43852595.9904279,13902416.6775565,4213605.45622656,3816644.1768139,6942282.99071602,3065241.58424953,4636508.92295101,4949007.96291543,5274231.40297724,9579588.93046575,5104361.83150269,6630925.38939888,7212330.55561272,4873430.85303979,7382066.35629315,51222743.2491383,10489304.0932454,5798770.98848451,6249402.90353291,7672131.86167105,7453056.53355208,8735934.3689144,11290213.4703999,12109504.3008386,13250198.9193371,117878057.033934,55342141.4261189,435970230.79543
"3",891766517.377269,1568.5,2011-11-18 07:17:00,142169877.713923,131758354.870835,78612839.7843572,67369085.6796473,44793439.755204,20223255.3332316,8371552.99461657,4179212.93237436,5354322.7303528,3032911.34276052,3147371.55361189,3138238.12992571,4962050.41078873,4289593.02097711,4329462.23930958,4002818.87200747,4837686.66267942,7525844.84828181,20362591.4926302,219056913.455349,39261187.7758166,6232876.78012118,5934314.44200229,7954378.8830705,7737950.32395012,8210792.21893865,11278782.5264612,12340560.2646872,13909676.0156306,330379510.65293,39939067.8977806,485883746.640183
"4",759502051.539643,1569,2011-11-18 07:17:01,246920582.874263,117360169.365205,96954732.5377375,122865048.064323,38210394.2962612,19438150.0377835,6922468.13463042,2995405.93668245,3991462.50538113,4929628.89522227,3704194.7768307,4121601.16484109,5052577.49124004,5098454.20112507,4029732.20059759,3867820.75220023,4536138.23885895,3959598.74989111,4224540.15089592,21815358.9865931,8307355.05671994,5444124.70950814,5860584.61756266,7360413.69532464,8156532.21386362,8552408.21725251,11758201.1788789,12851175.3602005,13675651.8997938,81230237.2707433,41464147.9278589,600695024.467034
"5",758818143.990144,1569.5,2011-11-18 07:17:01,106486952.636099,176782575.558691,142187532.461512,47351576.3710529,46183545.2349326,15578534.0965542,4506256.94603228,4115764.66930937,4552775.44554793,4106836.90397386,4977900.10350109,4623813.67536528,4973968.47893048,3879717.09194228,4894239.56704968,4082559.51884101,3503459.03572475,6578044.10174735,14080406.4511934,87861123.7063171,17358725.7876563,7621005.3536847,5700853.38126019,7512298.60685996,7365087.22261009,8373350.2578052,11525043.9705169,12344934.3800072,14304018.5803499,169777365.883975,43698820.8111399,509175267.573152
"6",870923082.320239,1570,2011-11-18 07:17:02,276402623.868544,89016165.6943891,78244820.4418125,59556748.3604577,49249376.8952989,22362907.4787662,7393883.74305503,3493195.96149222,3962136.25204264,4154366.82886025,3686763.54881302,4505810.50793405,5945507.07767652,4888190.55338884,4103963.39022454,4527747.08467725,3922851.0400451,4879286.7249018,7702187.76762252,35578113.4932506,8982433.07029264,6035337.06548441,6210515.56099476,7882968.4969461,7708427.73617855,7906885.49767099,10947488.4480392,12067215.4881263,13369114.9190583,99867903.6700858,43699981.2210718,692614036.231646
"7",697451172.027007,1570.5,2011-11-18 07:17:02,43542789.1801386,140084137.497405,134927146.704076,73313482.4293349,50928457.4823766,32624424.6685162,5808819.06908274,4967003.64032603,5517704.70561261,5792295.34356125,3403527.85626359,4312757.03916931,4653334.60250696,5469295.33575624,4621212.91606998,4342241.51219302,5152357.48767058,5389321.20079356,13690544.2955444,52942984.3535415,20013179.9305564,9024364.86824229,6410985.84509126,8231277.049002,8473478.05464921,8135323.89881068,10946221.6524018,12480888.7354475,15045728.9463151,140400945.583951,46170080.58134,475306793.392765
"8",520891551.619245,1571,2011-11-18 07:17:03,51412991.8061114,44814797.88734,83131034.7039274,105240570.46851,55161721.5299419,22379872.7724245,5558091.75152007,6776802.91145609,3429655.95273923,3910260.43152797,4158196.74265611,5313642.9117617,3607133.0949215,4535234.54935205,4379981.10671547,3342382.96847964,4390036.83221286,4242217.86629664,6568718.63254769,16159795.3125674,5980098.44615319,5173736.62139506,5903689.10311558,7665884.74148089,7970996.85415495,8357320.59166788,11532326.8489218,12506609.3017554,14655159.9419477,75400947.4571932,42902615.7577008,366991538.379463
"9",697380722.362241,1571.5,2011-11-18 07:17:03,163994978.842225,257444918.334851,51359210.8100367,56841607.3580088,39002415.5397534,20590378.0132487,7534999.54526895,3062898.12932403,3813253.27598848,4245693.00144967,3818114.74916016,2936167.63277987,4057062.48893631,4573613.78703862,4883134.10371729,3179126.03092911,4178927.559131,4207122.52897614,5194763.11699608,15368378.7335439,6092814.93401816,6177606.19759074,5670270.46989705,7830192.59311066,7246155.7621974,8976677.42444371,11673165.3551141,12539766.8945135,14282042.7194983,74823360.5487508,38195890.8459477,548683119.313182
"10",893588598.811093,1572,2011-11-18 07:17:04,143968455.905163,112439768.400196,76030082.809186,86147240.7645016,80316961.6023458,28455441.8589092,8144893.42940994,3754616.62873108,3993658.58145494,5094767.2360715,6457349.60814692,5721834.05514241,7395119.89428565,7607415.99886942,7838069.39269152,9105216.30995221,11932170.0042406,11434097.8277097,17184451.3171451,119749653.288091,23609167.0693595,9351775.52557695,8396781.07676447,9668883.17479273,8723095.34352908,8424230.42650653,11987850.8440666,12004595.1570889,13787169.1355492,227323819.881251,65721911.9931511,565749716.546096
