"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",1556336570.48094,3926.5,2011-11-18 07:56:18,118374098.670535,327934093.589366,80944522.1923657,114650203.702533,45895119.9835874,31982377.3160426,8706451.62077826,4881151.6459928,4034774.62091528,4128203.3430989,3364097.00751816,4673766.51530368,3691933.77901401,5680454.59022808,6111386.57069004,4879581.99397484,5518246.71353599,5971386.37218768,77409285.6054259,354504648.508911,109034451.485241,43746676.9338778,39701959.9163193,67027182.7354598,27737130.1106685,30147621.1764623,32345536.629823,19002116.0675731,28442548.8526527,773636826.852727,46205440.527116,672346295.075154
"2",1586333893.75154,3927,2011-11-18 07:56:19,117777485.74396,84764757.0409307,197470273.601466,42836091.3482006,70876068.046139,23519992.4739297,7152424.16226052,4625426.26675996,3152913.94961021,5378747.32502648,3919366.34103036,3893572.0740357,4283583.97838003,3337138.60859072,2755098.79884705,4445311.7218693,5064210.96537418,8891311.22540637,107396103.747854,385373691.434491,125642918.746509,50291317.7783002,38665469.7250299,94316810.5677198,31228985.9434242,35099516.132172,35918072.062403,33479623.8766117,25561636.0679436,894490012.267956,41247606.6331587,571903825.358585
"3",1759453117.55741,3927.5,2011-11-18 07:56:19,89062198.912525,92829184.5760095,122916857.329798,78819446.4904609,71816085.8720737,24842586.5635252,10070094.5756638,3596438.95114547,3152555.60048486,5085191.29030595,4625047.11938008,5224526.40493648,4064923.58418572,4172271.5314431,3532298.90813318,3682260.89623683,4971869.30924531,9858490.52225068,104716404.656848,517413799.056066,230518744.507894,55303020.7081652,35336646.733994,79846539.467117,30807239.8281759,32836774.2101476,30435438.7072227,31550749.1054976,23093837.8195384,1112819329.15133,42669172.7377121,532965568.448221
"4",1888682502.37421,3928,2011-11-18 07:56:20,112401699.636414,207298510.969177,131034458.137632,50484295.2342336,64561019.0963931,32818483.9524095,7015589.89923909,3731340.60935531,3176441.74950854,5313196.16480692,3049243.8925042,4396938.92846776,3377385.82469445,3917937.57849756,3257219.90735726,2988151.26798361,5060287.06728911,11657976.5724614,89214081.9437198,604409351.968955,231806780.120095,95517213.0704247,36240563.0025189,61706289.8100402,22826303.0694739,28469663.54655,32098273.243283,18846992.7213204,21195252.8988624,1202236824.68306,38211103.4707965,593427949.507855
"5",1897832288.30652,3928.5,2011-11-18 07:56:20,240514986.399726,282470912.996206,157884964.025029,104438886.446546,41505011.7804471,23343334.6580167,6031101.1715952,5045459.45987724,3582202.35716344,4334558.25761161,4177408.1569591,4693112.47082463,3635010.25396433,3717888.65876934,4963549.83607811,3689667.06613852,4876255.43475611,10581412.9514222,99379343.6116926,340490164.652955,112812256.573359,58251855.5482922,55330828.5731382,65982531.63018,22714128.6503416,22924237.5002707,30826196.2025876,36667089.3692694,21907135.0165144,806520425.803931,41876294.1566525,974569190.281376
"6",1231508358.94325,3929,2011-11-18 07:56:21,125668950.63403,190773828.329978,109824751.557075,74568098.2320467,47557732.3367513,14262114.6272806,7819104.59053791,5664837.43848687,2735500.36558602,3901690.08431652,3392947.9749607,3582418.74190019,3203214.58389497,4495202.47321646,3624897.86394607,3044011.86153571,4857824.78473434,9239934.02066638,97849791.3681553,209847384.121649,92277050.2946941,46213917.6250658,39168055.2283626,60976876.9738775,23364483.4221643,22361587.16714,26969910.8238175,17702009.344088,23154290.526275,615211728.622904,37297041.9952318,522272540.064462
"7",1177457309.14948,3929.5,2011-11-18 07:56:21,102473975.832767,188416688.702418,101280815.6515,121430263.591942,45730661.1561738,22345983.1329954,6538978.64879914,3664168.77916095,4373918.47131892,3309567.46251421,3152808.84885987,4909934.63740648,4437080.07396614,3841560.56704506,3951526.62222354,4239038.80841895,5372135.17918004,8030760.92741643,95647486.0038331,194330574.516269,60998358.6308538,36424480.9283322,30104968.1764569,41861133.1889596,21437010.5807988,22799510.0558569,24697413.322391,32571456.8421475,21422078.733185,527830432.045701,40162653.7162661,542167250.843216
"8",1252394534.53772,3930,2011-11-18 07:56:22,216238723.005824,62356376.013597,172792663.971728,137865043.497726,83036048.9931196,15259827.4830305,5201040.88520649,3290117.88035289,4094580.85468904,4341289.27578761,4705745.48241572,3676468.95395142,3048850.72046547,3749424.82438346,4037927.39795572,4218684.76786081,4304198.59626924,7680282.52551387,56593664.1586576,123039473.113097,67852719.6852487,42050657.4659814,31441128.0297843,49721903.2990518,20071272.8676045,23576486.8883601,22543410.8522006,33845649.4067984,23541273.6192589,435793950.770668,38144674.8909839,708723733.967429
"9",1415000193.42496,3930.5,2011-11-18 07:56:22,223940653.349117,247956275.714294,91367560.7563212,114532933.719058,78657204.6537873,23639593.1052427,7632165.81111564,5415152.45373112,4445608.59741654,6108872.39080588,3900149.00272192,3841009.14951773,3780062.96174906,4019891.42538714,4051895.94664655,3453183.70993711,4726252.71113533,7915916.0757131,38330759.6809382,136580719.510852,129933236.423312,85487008.6035416,56124854.3544803,53290959.5960634,20515593.8797524,25322199.5960861,21229783.1706567,17718901.8971963,24308937.685876,567439565.573935,42339564.9175579,751686064.396834
"10",1302279111.94483,3931,2011-11-18 07:56:23,104591981.157524,174302386.452662,73529321.1569729,55886151.1132555,84000997.8368115,58881687.05296,6364669.49733069,3406608.79079992,3347668.37289388,3568176.82752393,3682822.12339877,3074171.71385054,4404341.01887026,4090675.41122911,4516249.2745621,3025704.99206743,5579455.49243441,9984107.57169471,51704490.4276894,276704467.77859,130902732.933953,54949622.0344853,36912347.4456526,39256252.5754488,19476790.0055358,26360965.8302379,23285451.0668402,31037399.7234689,25807586.3910767,660050060.919971,36411098.4416217,534590849.783661
