"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",1434055935.53415,4043.5,2011-11-18 07:58:15,423575900.552409,87154200.1692351,130867133.671603,56976537.7205797,52074740.8698547,22445112.5042982,7130253.63822473,2976987.08850864,5422574.42016373,5157848.91006907,4390396.36446798,3544794.75979016,4760469.02665368,5830513.51365978,5194915.96307858,5319909.38267411,7700984.79895885,10383894.8526259,19446806.792812,72704776.6164001,31865084.8693441,8175321.36995319,9640096.49179421,12514215.2567379,8153116.49695804,9107557.73929308,13556015.9475895,30360746.1582798,19510339.4917927,192173929.039466,47711392.7019009,1135533839.4068
"2",1249506619.84258,4044,2011-11-18 07:58:16,180429716.703547,108696954.452312,232168432.276911,138151200.672883,46662050.1140695,25552714.4268992,9602338.53322244,3895860.88586721,4826866.93714805,3876700.39964757,4407273.75976719,6137949.93811142,4017286.08846583,4415912.42790006,5408910.1524327,4304571.2438359,4635795.36647052,6004614.80142136,18083145.9535012,69380786.2538958,57465953.3695458,8125825.0443493,8656167.96719742,11500500.0441369,9657752.58588537,9399110.85667575,13627902.0119173,33565775.1291984,19592551.1665406,206898772.341836,45780228.4510633,935021796.688276
"3",933613527.756956,4044.5,2011-11-18 07:58:16,157290440.703386,157247658.166937,98535833.8532884,53980800.7137406,67764724.8792994,40667182.6049035,9018933.76761933,7604837.89277455,3647566.83605838,5845204.73236005,3681658.9975176,5792248.3867392,3101477.47496754,4752977.07907945,4027733.90342094,3789979.10382872,4217392.65066976,6661311.97106472,11040701.2813808,72892068.7634757,62656848.1437973,10043779.3252176,9939508.64773338,11074187.3156007,8920382.83108473,9279047.076599,14319640.6920551,34402634.0167491,19260641.6933869,211304310.491734,45418610.5711763,614247892.508451
"4",911609794.249472,4045,2011-11-18 07:58:17,138203535.431076,67967399.7974318,50401924.2978934,60144230.3285005,35254790.8644898,23576297.8191022,6821315.33145847,4692335.18106523,2789742.13576167,5522584.71652904,5075833.44914013,3469463.70965673,4137870.02420377,9173004.97286923,7167344.55670521,5413366.25584531,4990025.13963521,7588620.98516394,17785383.8206633,140956941.184739,67417602.6654308,14165067.4549563,11865354.0248207,13943587.0440686,8406803.75876941,9513154.74903501,14890828.5487078,32812823.063233,20541674.4795271,300562096.598409,51777919.8665366,496447642.186085
"5",905007602.574195,4045.5,2011-11-18 07:58:17,102472407.117932,61370531.7707311,113328887.649015,105773878.282587,26488780.7016342,23840358.5428646,5526808.93275718,5883581.54717407,2743522.53475365,5807108.97129454,3530806.51662413,4215002.19555292,3973710.69491174,6477215.10716609,5459409.84206668,4392946.02705387,4894229.36113899,7493772.81927016,17473015.5079228,115049090.195084,44459525.1820117,15721802.1924424,13743605.6408361,15319389.7643932,9836823.87502407,9672100.59643613,15267700.2535876,33850419.5467872,21086656.9397985,258028400.942938,46168686.3921994,536041331.187326
"6",783689675.842125,4046,2011-11-18 07:58:18,73178103.5827207,86781766.7022061,71079994.4177144,83984075.5565775,62549648.5592717,19835688.5920061,6265679.03211731,3074236.30982714,4734314.29146339,5542263.77850102,3912421.76986987,3652302.27066513,3516133.30448291,5591346.03950626,4416366.77018571,4206932.31342358,5137442.64574642,10484096.6381242,18784377.4634503,129023223.765229,35066699.4803806,21742388.801644,15206651.5666364,15247146.0072348,9468773.37399638,9831655.1893734,15426040.6317808,36474627.1788003,22468708.0054324,274236393.869538,42215368.865934,398013924.757924
"7",841391483.586976,4046.5,2011-11-18 07:58:18,104238986.361888,42937965.5325022,132987468.006854,86995987.9667817,71570752.3616059,16226702.8416972,3082249.1785894,2756284.60766859,4661490.06910236,4300146.18425207,4495411.45782313,4597386.9154394,5245614.08787262,5657995.20691121,6313795.8709015,5242663.24913647,4870054.40553287,10032973.063565,18974174.1665598,112277188.013343,32965927.0125223,18101353.5763138,21613626.0190803,17126068.6348905,11180591.9765536,9578688.10963942,16776491.8433752,20537219.8264236,23852969.7715756,261743019.901856,46397810.6514415,477747101.315948
"8",906387176.48233,4047,2011-11-18 07:58:19,175769274.523161,73294652.8208858,123882393.901831,54818867.1189676,74972529.4099122,25072750.6007114,6889982.95754493,4665456.96201428,4091477.06348174,4503515.83828912,3370482.77291025,5407661.83061193,5462060.77507332,6226636.99582211,6585357.85680411,4974849.6753134,4650286.99998226,8484166.98066014,18958312.5583366,93686202.665843,43121027.8301661,15109767.2021175,20036426.8798347,31329800.1934408,11525460.3322856,9966794.09898426,17740752.2768206,33368957.0424246,26646688.482774,262045924.041019,47823585.2159408,523904364.012135
"9",1077491677.67524,4047.5,2011-11-18 07:58:19,181635452.299878,219060009.309582,139705799.853684,58084878.0654327,46016279.6413839,23292898.9592927,6004678.98594696,4673453.38042496,4351127.34979994,4904839.42880765,5169020.29882416,3866485.5762497,3579881.31057654,4497128.43552515,4284233.91285248,3305755.63221473,4932801.81146414,9102608.07711633,34996392.5621078,102243442.830185,31769992.3318842,15290693.3304813,17169742.9566241,21640665.6366823,11553227.7136878,10430620.4732883,17203751.9729928,35706751.524149,29689873.3234791,263627382.512106,43342827.7334734,693351353.295096
"10",863452825.903953,4048,2011-11-18 07:58:20,159785929.7448,80113310.5870897,41083419.7439658,34602576.8738996,41539298.6552697,12933422.4428847,11196143.2352401,2889535.1843591,3878062.70369874,4120497.17951605,3621967.0216134,4133026.58821076,3885540.47660089,4875612.79314105,5459244.24379644,4404594.92903403,6427984.09794482,11621585.4779488,37021434.2832246,165336646.37394,47350492.411346,17603747.9235086,23703309.3080558,26680953.3735406,14305136.9051306,11224742.7343604,17277176.6253487,24189157.2196854,27513750.260815,364314647.389053,45156954.900061,390384411.510095
