"","p_rms","time_from_start_s","abs_time","tol_cf_25Hz","tol_cf_31.5Hz","tol_cf_40Hz","tol_cf_50Hz","tol_cf_63Hz","tol_cf_80Hz","tol_cf_100Hz","tol_cf_125Hz","tol_cf_160Hz","tol_cf_200Hz","tol_cf_250Hz","tol_cf_315Hz","tol_cf_400Hz","tol_cf_500Hz","tol_cf_630Hz","tol_cf_800Hz","tol_cf_1000Hz","tol_cf_1250Hz","tol_cf_1600Hz","tol_cf_2000Hz","tol_cf_2500Hz","tol_cf_3150Hz","tol_cf_4000Hz","tol_cf_5000Hz","tol_cf_6300Hz","tol_cf_8000Hz","tol_cf_10000Hz","tol_cf_12500Hz","tol_cf_16000Hz","small_boats","big_boats","large_ships"
"1",3678275094.4097,925,2011-11-18 07:06:17,199904056.799919,133668645.177776,81700362.3815269,65480371.5976676,28201907.8227174,38429914.2235741,3475547.0459132,3961691.2660629,2415475.073935,4017633.06230526,3988308.19825069,5356908.94056332,6498676.65832919,6282237.53923964,6179507.62284878,9571655.72697704,17690416.7749373,62709066.296761,182775886.973621,2223003393.00105,293200640.803476,88943191.8817129,38160278.5954313,28546763.6416687,11261800.515566,16740002.2054574,32297053.8290021,19394452.0260477,15531818.3751778,2964926839.48262,54909181.7500718,601810653.641546
"2",5282459960.51354,925.5,2011-11-18 07:06:17,138575353.824602,185889347.672045,64834336.8757344,97866824.0116976,44446053.1614133,19337637.6431731,7358410.91726195,3757109.58208348,4722149.88342273,7868409.08392021,6791585.00284773,4659833.89241831,5832622.82755722,6836551.72470225,14771493.4451391,11688783.4063478,27463398.0805643,47789713.0921111,192988281.726606,3600476972.56768,504972868.572936,89069480.5185523,37622770.9248046,25610290.8501516,13740614.4422891,16376263.1192694,22907808.5489852,19751405.4116992,15545952.6179871,4549940701.31893,76595573.9009513,607401305.358227
"3",4565742027.06882,926,2011-11-18 07:06:18,68594208.667918,87253042.1943886,105390146.763394,154551462.396937,53890808.0042993,41073730.730727,10215836.4525312,6017046.32699567,7730682.16703966,7028531.71121949,5279702.07331985,5437071.88255955,6991563.39792871,8834739.80204121,10562539.674996,14345416.8817785,28234866.3206096,60763567.0774843,163423717.601548,2815698643.44029,647137819.939158,100900485.465062,55059449.9621275,32452345.81815,14515978.9740104,16081624.8026058,15749767.1187784,13927408.0989039,15367544.2433131,3926982095.98606,85198878.2018679,514501943.496051
"4",4080608279.9313,926.5,2011-11-18 07:06:18,145449743.4329,167773025.890096,154412791.212733,45203198.7800466,29530748.3822829,22312709.0214887,5456336.59640808,3827864.00108035,4937161.88572405,4164388.91152077,5668153.28812198,5003292.13211936,3971223.47289189,7618182.33359669,8906916.26156578,11985571.344062,22362365.978275,97195877.0146779,186944610.564939,2391280075.87047,470683269.249017,152830698.887157,43886165.5388803,34932702.5663253,13072891.5728807,16603935.4365726,30800728.6326827,19874903.5219198,15472313.957713,3391559491.9452,67850758.1970758,565682675.042625
"5",3929968086.82831,927,2011-11-18 07:06:19,206542539.45044,68416195.1481989,110218955.477919,56663168.3071635,49670418.0498952,16400140.7114673,6986291.08958133,6747409.32231788,3345153.93756464,4629441.36990426,3712838.79319015,4198908.15437173,3695948.25236909,9382803.68238581,9022871.13254373,15595896.3492814,21800170.9526561,88366970.3242693,213401918.984863,1933742576.57731,849750393.203615,107826722.951385,36962835.3045478,38646512.4023004,14489543.2975594,14737414.1822506,16171729.7866268,13852221.3562402,15236228.1116962,3315081802.47949,70151927.551439,505558376.581685
"6",3713026707.32991,927.5,2011-11-18 07:06:19,64991665.3033216,40462497.9685553,99672084.5153703,102510486.970142,65954884.8897539,32245950.9631369,5585508.02665911,3536764.86075649,3622661.29450276,3549431.42898606,5550058.364656,3590188.3811636,5369137.68753889,10886743.1646039,12690650.3794732,32520920.5881806,59377374.6612686,75340491.5594174,220737709.034476,2245941321.58603,404687316.519152,81327952.0275636,40627105.0103823,40698470.9832777,13166700.1891365,14404780.9370058,17715698.1259209,15805048.2558287,15509471.799878,3171856544.35384,104863289.268512,394298031.271187
"7",4020086238.80342,928,2011-11-18 07:06:20,273938400.05222,117190897.310696,80545294.9310477,65873463.5315639,137173291.694018,84545907.98506,9178559.33672701,5537167.84909129,5521817.04291701,2889327.70283418,6465650.94001651,3795921.85450278,5679968.44945891,14713452.2819719,15027219.356089,41652511.5679902,78520867.2136515,97946306.9754553,245764365.301977,2057788674.84118,387540909.234157,108744249.997829,47632287.9380257,51647204.2880862,11110406.2665056,17368171.9451863,31033375.4786067,18660294.3095848,16154570.3911959,3084447855.28906,132042380.419993,747541837.493864
"8",3411230384.66742,928.5,2011-11-18 07:06:20,98856070.0145957,73921740.9994361,123669054.14556,29298482.9262091,38902750.8326882,24208584.4719055,4064305.3065177,3332095.03263649,4490056.34622763,5611151.65840962,6680878.33844746,3619803.56867467,5159911.54473924,10191273.8768657,13878619.2887728,27993268.7124204,36754946.4575175,46934131.1082935,413707503.968889,1800685969.19721,365914751.173799,93397639.1583532,62049948.0383223,51145813.9074419,12358903.5252803,15387767.6406142,17007651.1238488,13166099.7569839,15183658.4481322,2886052352.63395,100467580.438734,385709481.171174
"9",4205390035.18132,929,2011-11-18 07:06:21,139461998.260263,124491640.669648,56441660.5163355,87094200.6925855,30588072.7367325,27894071.4884463,5590238.79586801,3953435.81530849,3941619.72488209,7161769.41798105,6256225.50148633,4403230.04504912,4933122.6210658,8602604.57963582,7842922.96506389,16401320.3687017,25812278.9972843,101213931.894619,373634063.851298,2499044352.45488,388464690.99299,100724743.669794,49256989.5471434,60448262.3495565,12377521.2329962,13982604.3478876,23142316.8004055,16625780.1825139,16263772.3672783,3611187250.32789,78296663.4599942,467654218.963477
"10",5738620915.98659,929.5,2011-11-18 07:06:21,99497939.25868,107870634.542411,163747466.832882,140800703.624103,66888479.8676561,14578289.6056704,5499808.30734529,4122832.70047352,4272574.88193032,4065142.34879426,4132540.13542054,4526211.35863284,5140612.8698685,7683433.31207412,6588774.05299564,16803047.0217433,31914663.4104842,178089558.440096,589919492.972999,3740016585.61887,342541537.867111,70941801.2734747,53278420.8902227,44490848.8438501,12561079.4179291,14598350.382926,27011412.5374037,19761714.9879718,16778513.3131745,5068152432.45549,76538232.9224411,540528140.812908
